,cl_algo,mod_id,n_sg,n_g,sg_id,g_id,p_value
0,MCL,0,1,7,['TMSB4Y'],"['TERF1', 'EWSR1', 'POT1', 'ACTA1', 'ACTG1', 'TERF2IP', 'TMSB4Y']",0.3776004708396833
1,MCL,1,1,5,['KDM5D'],"['PCGF6', 'HIST3H3', 'AR', 'KDM5D', 'KMT2A']",0.5772684136354697
2,MCL,2,1,21,['SRY'],"['Tcf12', 'SP1', 'Dlx5', 'Jun', 'ZNF208', 'SLC9A3R2', 'Sp1', 'Hhex', 'Xpo4', 'WDR5', 'EP300', 'Egr2', 'SRY', 'Pou3f3', 'Olig2', 'KPNB1', 'Pax3', 'HDAC3', 'Utf1', 'SMAD3', 'Cebpa']",0.0069697018166461925
3,MCL,3,1,23,['DDX3Y'],"['ODF2', 'PCBP1', 'WWOX', 'MTF1', 'PIN1', 'POC1A', 'RPAP1', 'SMAD2', 'HSCB', 'WBP4', 'CCNB2', 'SHBG', 'NUDCD2', 'ESR1', 'DDX3Y', 'SRC', 'NEDD4', 'SAP25', 'MCM2', 'APBB1', 'VHL', 'FBXO6', 'CRY2']",0.003588251272855996
4,MCL,4,1,14,['USP9Y'],"['ZNF331', 'VSX1', 'CLK3', 'ABRAXAS2', 'Hsph1', 'NCKIPSD', 'HS2ST1', 'USP9Y', 'PMS1', 'AKT2', 'SHC1', 'SIRT1', 'KRAS', 'MAPT']",0.06050417335770395
5,MCL,5,1,7,['ZFY'],"['RNF2', 'ZBTB9', 'CACNB3', 'ZFX', 'L3MBTL2', 'NSD1', 'ZFY']",0.3776004708396833
6,MCL,6,1,5,['TSPY1'],"['EEF1A2', 'HIST2H2BE', 'CSNK2A1', 'TSPY1', 'EEF1A1']",0.5772684136354697
7,MCL,7,1,4,['CDY1'],"['HIST1H4A', 'HIST2H2AC', 'REV3L', 'CDY1']",0.6945434126349022
8,MCL,8,2,15,"['RPS4Y2', 'RPS4Y1']","['CYLD', 'HTR7', 'ESR2', 'ICAM1', 'IGSF8', 'CALM1', 'PRPS1', 'CSNK1E', 'RPS4Y1', 'ZNF746', 'CLK1', 'RPS4Y2', 'CALM3', 'LRRK2', 'CD81']",0.1600489111159208
9,MCL,9,1,21,['RBMY1A1'],"['APOBEC3C', 'PRR3', 'DAAM2', 'HNRNPK', 'CIRBP', 'ZNF317', 'RBMX', 'AEN', 'SRSF3', 'RBMY1A1', 'RBM3', 'CBX2', 'KHDRBS3', 'YWHAE', 'IGF2BP1', 'PRPF31', 'SRSF9', 'LNX1', 'PCDHB14', 'RBMY1C', 'TRA2B']",0.0069697018166461925
10,MCL,10,1,2,['CDY1B'],"['UBC', 'CDY1B']",0.9250170415814603
11,MCL,11,1,8,['RBMY1F'],"['RBMY1F', 'FAM103A1', 'RASD1', 'RBM10', 'YTHDC1', 'HRP1', 'C17orf113', 'ZNF385C']",0.29903290755021517
12,MCL,12,1,31,['TBL1Y'],"['CCT5', 'TUBA4A', 'TBL1X', 'NCOR2', 'CCT6B', 'TUBB8', 'CCT7', 'SUZ12', 'cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18', 'TBL1Y', 'GPS2', 'TAB1', 'TBL1XR1', 'CAPN15', 'LRIF1', 'FOXK2', 'NUDC', 'DNAJB1', 'WDR36', 'CCT2', 'TAB2', 'CCT6A', 'INTS6', 'MAP3K7', 'CCT4', 'FBXL18', 'TCP1', 'CHD8', 'DNAJB4', 'NCOR1', 'CCT3']",0.000208957115360869
