,cl_algo,mod_id,n_sg,n_g,sg_id,g_id,p_value
0,MCL,0,1,6,['TMSB4Y'],"['TERF2IP', 'ACTA1', 'POT1', 'TERF1', 'EWSR1', 'TMSB4Y']",0.9703057723951024
1,MCL,1,1,8,['SRY'],"['SMAD3', 'SP1', 'HDAC3', 'SRY', 'WDR5', 'EP300', 'AR', 'KPNB1']",0.9913909855586844
2,MCL,2,1,16,['DDX3Y'],"['SMAD2', 'POC1A', 'SHBG', 'SAP25', 'WWOX', 'CRY2', 'DDX3Y', 'RPAP1', 'NUDCD2', 'MTF1', 'MCM2', 'ODF2', 'VHL', 'CCNB2', 'FBXO6', 'ESR1']",0.9999586586706158
3,MCL,3,1,11,['USP9Y'],"['CLK3', 'PMS1', 'USP9Y', 'HS2ST1', 'UBC', 'NCKIPSD', 'ZNF331', 'SHC1', 'SIRT1', 'VSX1', 'AKT2']",0.9987452216843491
4,MCL,4,1,6,['ZFY'],"['CACNB3', 'ZFY', 'ZBTB9', 'RNF2', 'ZFX', 'NSD1']",0.9703057723951024
5,MCL,5,2,20,"['RBMY1F', 'RBMY1A1']","['RASD1', 'RBM3', 'HNRNPK', 'APOBEC3C', 'DAAM2', 'PCDHB14', 'RBMY1A1', 'LNX1', 'RBMY1F', 'CBX2', 'PRPF31', 'AEN', 'YTHDC1', 'ZNF385C', 'RBMX', 'ZNF317', 'CIRBP', 'FAM103A1', 'YWHAE', 'PRR3']",0.9999485844373934
6,MCL,6,2,10,"['RPS4Y1', 'RPS4Y2']","['ZNF746', 'CD81', 'RPS4Y1', 'RPS4Y2', 'CLK1', 'CSNK1E', 'ICAM1', 'CYLD', 'PRPS1', 'IGSF8']",0.9759287425160698
7,MCL,7,1,27,['TBL1Y'],"['FOXK2', 'GPS2', 'TCP1', 'CAPN15', 'CCT6A', 'TBL1X', 'NCOR2', 'NCOR1', 'CCT7', 'LRIF1', 'CHD8', 'INTS6', 'CCT2', 'CCT3', 'TBL1XR1', 'SUZ12', 'CCT4', 'MAP3K7', 'CCT6B', 'DNAJB1', 'CCT5', 'TBL1Y', 'WDR36', 'DNAJB4', 'TUBA4A', 'TUBB8', 'TAB1']",0.9999999925702839
8,Louvain,0,1,6,['TMSB4Y'],"['TERF2IP', 'ACTA1', 'POT1', 'TERF1', 'EWSR1', 'TMSB4Y']",0.9703057723951024
9,Louvain,1,1,8,['SRY'],"['SMAD3', 'SP1', 'HDAC3', 'SRY', 'WDR5', 'EP300', 'AR', 'KPNB1']",0.9913909855586844
10,Louvain,2,1,16,['DDX3Y'],"['SMAD2', 'POC1A', 'SHBG', 'SAP25', 'WWOX', 'CRY2', 'DDX3Y', 'RPAP1', 'NUDCD2', 'MTF1', 'MCM2', 'ODF2', 'VHL', 'CCNB2', 'FBXO6', 'ESR1']",0.9999586586706158
11,Louvain,3,1,11,['USP9Y'],"['CLK3', 'PMS1', 'USP9Y', 'HS2ST1', 'UBC', 'NCKIPSD', 'ZNF331', 'SHC1', 'SIRT1', 'VSX1', 'AKT2']",0.9987452216843491
12,Louvain,4,3,16,"['ZFY', 'RPS4Y1', 'RPS4Y2']","['ZNF746', 'RPS4Y1', 'CD81', 'RPS4Y2', 'CLK1', 'CSNK1E', 'CACNB3', 'ICAM1', 'ZFY', 'CYLD', 'ZBTB9', 'RNF2', 'PRPS1', 'ZFX', 'IGSF8', 'NSD1']",0.9943212046637295
13,Louvain,5,2,20,"['RBMY1F', 'RBMY1A1']","['RASD1', 'RBM3', 'HNRNPK', 'APOBEC3C', 'DAAM2', 'PCDHB14', 'RBMY1A1', 'LNX1', 'RBMY1F', 'CBX2', 'PRPF31', 'AEN', 'YTHDC1', 'ZNF385C', 'RBMX', 'ZNF317', 'CIRBP', 'FAM103A1', 'YWHAE', 'PRR3']",0.9999485844373934
14,Louvain,6,1,27,['TBL1Y'],"['FOXK2', 'GPS2', 'TCP1', 'CAPN15', 'CCT6A', 'TBL1X', 'NCOR2', 'NCOR1', 'CCT7', 'LRIF1', 'CHD8', 'INTS6', 'CCT2', 'CCT3', 'TBL1XR1', 'SUZ12', 'CCT4', 'MAP3K7', 'CCT6B', 'DNAJB1', 'CCT5', 'TBL1Y', 'WDR36', 'DNAJB4', 'TUBA4A', 'TUBB8', 'TAB1']",0.9999999925702839
