,cl_algo,mod_id,n_sg,n_g,sg_id,g_id,p_value
0,MCL,0,1,7,['TMSB4Y'],"['ACTG1', 'TMSB4Y', 'EWSR1', 'TERF1', 'POT1', 'TERF2IP', 'ACTA1']",0.9009572535502511
1,MCL,1,1,5,['KDM5D'],"['PCGF6', 'AR', 'KDM5D', 'KMT2A', 'HIST3H3']",0.805874338777451
2,MCL,2,1,21,['SRY'],"['Olig2', 'ZNF208', 'KPNB1', 'EP300', 'WDR5', 'Pou3f3', 'HDAC3', 'Pax3', 'Tcf12', 'Cebpa', 'Egr2', 'Xpo4', 'SLC9A3R2', 'SP1', 'Utf1', 'Dlx5', 'Sp1', 'Jun', 'SMAD3', 'Hhex', 'SRY']",0.9993451286883621
3,MCL,3,1,23,['DDX3Y'],"['SRC', 'SMAD2', 'NUDCD2', 'APBB1', 'CCNB2', 'POC1A', 'MTF1', 'RPAP1', 'PCBP1', 'WWOX', 'SHBG', 'MCM2', 'ESR1', 'CRY2', 'FBXO6', 'WBP4', 'SAP25', 'ODF2', 'PIN1', 'VHL', 'NEDD4', 'DDX3Y', 'HSCB']",0.9996954269476631
4,MCL,4,1,14,['USP9Y'],"['KRAS', 'NCKIPSD', 'ABRAXAS2', 'SIRT1', 'HS2ST1', 'AKT2', 'SHC1', 'USP9Y', 'CLK3', 'ZNF331', 'PMS1', 'VSX1', 'Hsph1', 'MAPT']",0.9913565466631885
5,MCL,5,1,7,['ZFY'],"['RNF2', 'CACNB3', 'L3MBTL2', 'ZBTB9', 'NSD1', 'ZFY', 'ZFX']",0.9009572535502511
6,MCL,6,1,5,['TSPY1'],"['TSPY1', 'EEF1A2', 'HIST2H2BE', 'CSNK2A1', 'EEF1A1']",0.805874338777451
7,MCL,7,1,4,['CDY1'],"['HIST1H4A', 'REV3L', 'CDY1', 'HIST2H2AC']",0.7292457882948666
8,MCL,8,2,15,"['RPS4Y2', 'RPS4Y1']","['CD81', 'CSNK1E', 'RPS4Y2', 'HTR7', 'CALM1', 'ZNF746', 'CLK1', 'RPS4Y1', 'ESR2', 'PRPS1', 'CYLD', 'CALM3', 'LRRK2', 'ICAM1', 'IGSF8']",0.9548104016820226
9,MCL,9,1,21,['RBMY1A1'],"['IGF2BP1', 'TRA2B', 'RBMY1A1', 'YWHAE', 'RBMX', 'AEN', 'CBX2', 'SRSF3', 'RBMY1C', 'DAAM2', 'LNX1', 'ZNF317', 'PCDHB14', 'SRSF9', 'PRR3', 'HNRNPK', 'CIRBP', 'APOBEC3C', 'PRPF31', 'RBM3', 'KHDRBS3']",0.9993451286883621
10,MCL,10,1,2,['CDY1B'],"['UBC', 'CDY1B']",0.4771642808452632
11,MCL,11,1,8,['RBMY1F'],"['HRP1', 'C17orf113', 'RASD1', 'YTHDC1', 'ZNF385C', 'RBMY1F', 'FAM103A1', 'RBM10']",0.9295272765646018
12,MCL,12,1,31,['TBL1Y'],"['GPS2', 'TBL1Y', 'CCT2', 'INTS6', 'CCT5', 'TCP1', 'CCT6A', 'cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18', 'CHD8', 'TBL1XR1', 'MAP3K7', 'NCOR1', 'DNAJB1', 'LRIF1', 'TUBB8', 'TAB2', 'CCT3', 'FOXK2', 'CAPN15', 'CCT7', 'WDR36', 'NUDC', 'TUBA4A', 'TAB1', 'TBL1X', 'SUZ12', 'DNAJB4', 'CCT6B', 'FBXL18', 'CCT4', 'NCOR2']",0.999987600656683
