Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
eukaryotic translation elongation factor 1 complex	GO:0005853	cellular component	9606	2	4	2.6005014039590607E-6	3.458666867265551E-4	EEF1A1; EEF1A2; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
nucleus	GO:0005634	cellular component	9606	12	5730	5.384125008982455E-6	4.77392417463111E-4	AR; CSNK2A1; EEF1A1; EEF1A2; HIST2H2AC; HIST2H2BE; HIST3H3; KDM5D; MLL; PCGF6; REV3L; TSPY1; 	AR|IDBG-73722|ENSG00000169083|367|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; KDM5D|IDBG-354|ENSG00000012817|8284|; MLL|IDBG-73725|ENSG00000118058|4297|; PCGF6|IDBG-88407|ENSG00000156374|84108|; REV3L|IDBG-95364|ENSG00000009413|5980|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
nucleosome assembly	GO:0006334	biological process	9606	4	143	2.1019959148919568E-6	5.591309133612605E-4	HIST2H2AC; HIST2H2BE; HIST3H3; TSPY1; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
DNA binding	GO:0003677	molecular function	9606	8	2108	1.7673707500464086E-5	0.0011753015487808618	AR; HIST2H2AC; HIST2H2BE; HIST3H3; KDM5D; MLL; PCGF6; REV3L; 	AR|IDBG-73722|ENSG00000169083|367|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; KDM5D|IDBG-354|ENSG00000012817|8284|; MLL|IDBG-73725|ENSG00000118058|4297|; PCGF6|IDBG-88407|ENSG00000156374|84108|; REV3L|IDBG-95364|ENSG00000009413|5980|; 
seminiferous tubule development	GO:0072520	biological process	9606	2	11	2.377347730296465E-5	0.0012647489925177195	AR; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; UBC|IDBG-64029|ENSG00000150991|7316|; 
nucleosome	GO:0000786	cellular component	9606	3	99	3.7992965873590416E-5	0.0016843548203958419	HIST2H2AC; HIST2H2BE; HIST3H3; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; 
sex differentiation	GO:0007548	biological process	9606	2	22	9.942473182727688E-5	0.0033058723332569564	AR; TSPY1; 	AR|IDBG-73722|ENSG00000169083|367|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
translation elongation factor activity	GO:0003746	molecular function	9606	2	21	9.042108138412297E-5	0.003436001092596673	EEF1A1; EEF1A2; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
PcG protein complex	GO:0031519	cellular component	9606	2	26	1.3966706607677307E-4	0.004127937730713516	CSNK2A1; PCGF6; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; PCGF6|IDBG-88407|ENSG00000156374|84108|; 
POU domain binding	GO:0070974	molecular function	9606	1	1	6.854732401642752E-4	0.012155725458913148	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
activation of prostate induction by androgen receptor signaling pathway	GO:0060520	biological process	9606	1	1	6.854732401642752E-4	0.012155725458913148	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
hypothalamus gonadotrophin-releasing hormone neuron development	GO:0021888	biological process	9606	1	1	6.854732401642752E-4	0.012155725458913148	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
male somatic sex determination	GO:0019102	biological process	9606	1	1	6.854732401642752E-4	0.012155725458913148	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
negative regulation of integrin biosynthetic process	GO:0045720	biological process	9606	1	1	6.854732401642752E-4	0.012155725458913148	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
positive regulation of cellular response to drug	GO:2001040	biological process	9606	1	1	6.854732401642752E-4	0.012155725458913148	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
lateral sprouting involved in mammary gland duct morphogenesis	GO:0060599	biological process	9606	1	2	0.0013705127280571857	0.01822781928316057	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of developmental growth	GO:0048638	biological process	9606	1	2	0.0013705127280571857	0.01822781928316057	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of prostatic bud formation	GO:0060685	biological process	9606	1	2	0.0013705127280571857	0.01822781928316057	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
ubiquitin homeostasis	GO:0010992	biological process	9606	1	2	0.0013705127280571857	0.01822781928316057	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
zeta DNA polymerase complex	GO:0016035	cellular component	9606	1	2	0.0013705127280571857	0.01822781928316057	REV3L; 	REV3L|IDBG-95364|ENSG00000009413|5980|; 
androgen receptor activity	GO:0004882	molecular function	9606	1	3	0.00205511871522569	0.02277756576041807	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
positive regulation of integrin biosynthetic process	GO:0045726	biological process	9606	1	3	0.00205511871522569	0.02277756576041807	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
tertiary branching involved in mammary gland duct morphogenesis	GO:0060748	biological process	9606	1	3	0.00205511871522569	0.02277756576041807	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
translational elongation	GO:0006414	biological process	9606	2	103	0.0021912441698039866	0.02331483796671442	EEF1A1; EEF1A2; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
androgen binding	GO:0005497	molecular function	9606	1	4	0.00273929145309459	0.02350488795236003	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
epithelial cell differentiation involved in prostate gland development	GO:0060742	biological process	9606	1	4	0.00273929145309459	0.02350488795236003	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
male genitalia morphogenesis	GO:0048808	biological process	9606	1	4	0.00273929145309459	0.02350488795236003	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
male sex differentiation	GO:0046661	biological process	9606	1	4	0.00273929145309459	0.02350488795236003	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
morphogenesis of an epithelial fold	GO:0060571	biological process	9606	1	4	0.00273929145309459	0.02350488795236003	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of establishment of protein localization to plasma membrane	GO:0090003	biological process	9606	1	4	0.00273929145309459	0.02350488795236003	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
female meiosis I	GO:0007144	biological process	9606	1	5	0.003423031193265449	0.024608818848881338	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
mitotic spindle checkpoint	GO:0071174	biological process	9606	1	5	0.003423031193265449	0.024608818848881338	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
positive regulation of transporter activity	GO:0032411	biological process	9606	1	5	0.003423031193265449	0.024608818848881338	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
unmethylated CpG binding	GO:0045322	molecular function	9606	1	5	0.003423031193265449	0.024608818848881338	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
male gonad development	GO:0008584	biological process	9606	2	97	0.0019467192539901782	0.02465844388387559	AR; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; UBC|IDBG-64029|ENSG00000150991|7316|; 
protein heterodimerization activity	GO:0046982	molecular function	9606	3	446	0.003099468357835654	0.025764330724508875	HIST2H2AC; HIST2H2BE; HIST3H3; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; 
positive regulation of NF-kappaB transcription factor activity	GO:0051092	biological process	9606	2	125	0.0032054818684025387	0.02583812657560834	AR; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; UBC|IDBG-64029|ENSG00000150991|7316|; 
fat pad development	GO:0060613	biological process	9606	1	6	0.004106338186500332	0.026641120917294838	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
histone demethylase activity (H3-K4 specific)	GO:0032453	molecular function	9606	1	6	0.004106338186500332	0.026641120917294838	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
regulation of histone H3-K4 methylation	GO:0051569	biological process	9606	1	6	0.004106338186500332	0.026641120917294838	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
reproductive system development	GO:0061458	biological process	9606	1	6	0.004106338186500332	0.026641120917294838	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
histone H3-K4 demethylation	GO:0034720	biological process	9606	1	7	0.0047892126842960375	0.028952967591426047	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
