Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
RNF mutants show enhanced WNT signaling and proliferation	19131	REACTOME	9606	5	197	4.015161770432076E-7	5.420468390083302E-6	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
TCF dependent signaling in response to WNT	18732	REACTOME	9606	5	197	4.015161770432076E-7	5.420468390083302E-6	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
XAV939 inhibits tankyrase, stabilizing AXIN	19487	REACTOME	9606	5	197	4.015161770432076E-7	5.420468390083302E-6	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling	16943	REACTOME	9606	5	197	4.015161770432076E-7	5.420468390083302E-6	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by WNT in cancer	17000	REACTOME	9606	5	219	6.799490443917689E-7	7.343449679431104E-6	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cellular responses to stress	16723	REACTOME	9606	5	240	1.071159927504299E-6	9.640439347538692E-6	EEF1A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
M Phase	18628	REACTOME	9606	5	281	2.3372576444126255E-6	1.8030273256897397E-5	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Signaling by Wnt	17272	REACTOME	9606	5	294	2.9214747510493946E-6	1.9719954569583414E-5	CSNK2A1; HIST2H2AC; HIST2H2BE; HIST3H3; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Packaging Of Telomere Ends	12919	REACTOME	9606	3	35	3.639935919902278E-6	2.183961551941367E-5	HIST2H2AC; HIST2H2BE; HIST3H3; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; 
Condensation of Prophase Chromosomes	17113	REACTOME	9606	3	49	1.0179339608919703E-5	4.9971303534696726E-5	HIST2H2AC; HIST2H2BE; HIST3H3; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; 
