#rank	DIAMOnD_node
1	56122
2	1198
3	23500
4	27350
5	27316
6	80742
7	3190
8	1153
9	91746
10	202559
11	5935
12	10656
13	26121
14	10657
15	3178
16	51067
17	3276
18	70439
19	10236
20	3183
21	8175
22	8452
23	3609
24	11338
25	1660
26	9782
27	56257
28	3608
29	55832
30	6625
31	22913
32	10492
33	10949
34	3192
35	1655
36	3575
37	6428
38	9775
39	23363
40	3187
41	10521
42	9343
43	6426
44	9820
45	9987
46	1108
47	23524
48	10594
49	8726
50	988
51	1665
52	3185
53	22938
54	10291
55	4670
56	1107
57	10450
58	4116
59	6432
60	9092
61	6430
62	7307
63	6627
64	27339
65	23451
66	23450
67	83732
68	6633
69	23020
70	6632
71	24148
72	6634
73	10250
74	9129
75	10921
76	9584
77	8454
78	5093
79	7112
80	6045
81	23435
82	4691
83	23512
84	51631
85	10432
86	10987
87	7150
88	4914
89	6431
90	26986
91	6626
92	8453
93	10946
94	6635
95	25980
96	10421
97	6421
98	220988
99	6780
100	3184
101	8450
102	3181
103	5725
104	2521
105	2335
106	4904
107	6117
108	3182
109	2099
110	10189
111	4000
112	1540
113	1654
114	140890
115	6733
116	3188
117	3309
118	3189
119	8065
120	6119
121	11100
122	6118
123	6128
124	672
125	2130
126	6434
127	8683
128	8761
129	3676
130	4171
131	6129
132	6138
133	6187
134	6203
135	6201
136	6141
137	6133
138	6202
139	6191
140	6189
141	7412
142	6132
143	4869
144	6194
145	6122
146	6157
147	6175
148	6136
149	6143
150	55011
151	6130
152	6229
153	3921
154	6188
155	6207
156	6124
157	6230
158	6160
159	6193
160	6147
161	6144
162	6125
163	6135
164	23521
165	6217
166	6208
167	4736
168	6142
169	6146
170	6152
171	9045
172	6134
173	6139
174	25873
175	6137
176	6224
177	6228
178	6205
179	6210
180	6155
181	6181
182	6223
183	11224
184	6222
185	6204
186	9349
187	6231
188	9924
189	6169
190	6206
191	6232
192	6156
193	6176
194	6168
195	6227
196	8266
197	6234
198	140801
199	6209
200	6165
