;degree;betweenness;eigenvector;closeness;ratio
DDX3Y;19;0,6473;0,0013;0,2512;0,0341
SRY;7;0,4683;0,0001;0,2146;0,0669
SMAD3;2;0,4466;0,0002;0,2320;0,2233
TBL1Y;27;0,4430;0,0002;0,1782;0,0164
HDAC3;2;0,3906;0,0000;0,1951;0,1953
RPS4Y1;9;0,3185;0,0005;0,2124;0,0354
RBMY1A1;18;0,2904;0,5221;0,1897;0,0161
TMSB4Y;5;0,2857;0,0181;0,2141;0,0571
POT1;2;0,2722;0,0033;0,2289;0,1361
TERF1;2;0,2399;0,0927;0,1988;0,1199
USP9Y;11;0,2274;0,0456;0,1758;0,0207
RPS4Y2;3;0,1866;0,0015;0,1977;0,0622
CSNK1E;2;0,1802;0,0081;0,1856;0,0901
CD81;2;0,1239;0,0003;0,2249;0,0619
IGSF8;2;0,1239;0,0003;0,2249;0,0619
CLK3;3;0,1107;0,1869;0,1761;0,0369
RBMY1F;18;0,1079;0,5213;0,1568;0,0060
RNF2;2;0,0933;0,0001;0,1785;0,0466
ZFY;5;0,0765;0,0000;0,1535;0,0153
CIRBP;2;0,0048;0,1791;0,1622;0,0024
