Gene_1	Gene_2
CLK3	PNN
RP11-631M21.2	TTC5
YWHAQ	tcag7.39
PMS1	RP3-511B24.1
C11orf70	RP11-443G18.6
PA2G4	TERF1
ACTR3	RP1-130E4.1
PSG1	UNQ9369/PRO34160
EGFR	PMM2
RP5-902P15.1	UBC
APP	RP4-570L12.2
PCGF6	PP1009
MVK	POT1
PIM1	PIN1
LP4947	RP11-443G18.6
LRRC34	SRPK2
AC002059.7	SPTAN1
CUL4B	RP11-391H12.1
BAIAP2	RP1-5O6.1
KPNA4	RP11-443G18.6
FLNB	MCM2
AC002059.7	PPP1R2
GCC1	NAB2
COQ7	RP11-366I13.1
POT1	RPAP1
RP11-382A12.1	SMAD3
APP	MLLT6
CSNK2A1	JPH4
INPPL1	PPM1A
MED15	QKI
GS1-120K12.1	THRAP3
CSNK2A1	TP73
JUN	RP1-130E4.1
APP	JM23
DAZAP1	ELAVL1
CALM1	STIM2
CDK8	SMAD3
HERC2	PMS1
E2F4	EGFR
EGFR	FRK
RARA	SP1
TP53	TUBA4A
DDX21	RP3-339A18.4
RP5-1112D6.1	RRM1
OSBPL8	UBC
PFKL	ZNF746
ATXN1	RP11-205M9.4
APP	DADB-160J14.5
PPP2CB	RP11-24B19.2
KPNA1	KPNB1
CCT7	TCP1
EIF2AK3	OGFOD3
KLC4	YWHAQ
MAN2C1	NLGN3
GS1-120K12.1	Ring1
NCOR1	SKI
CUL3	SRSF5
ICAM1	XRCC5
RP1-85F18.1	UBC
FAM86B2	UBC
UBC	YPR036W
PTBP1	RP11-575L7.1
MCM2	UBA5
AC002059.7	ARHGDIA
SMN1	ZNF746
AL049758.1	POT1
APP	MAPRE2
HLC7	SAP25
EGFR	PRO1933
CLK3	RP1-302G2.1
ANKRD13A	UBC
B9D1	CCT7
BOLL	G6VTS76519
MSTP030	RP3-339A18.4
HSPC057	ICT1
TCP1	VHL
TERF1	TUBB3
NANOS3	PUM2
CUL3	RP11-176F3.6
EGFR	RP11-72J7.1
NFX1	UBC
RP23-139J21.8	RP5-1112D6.1
CSNK2A1	PDAP1
PRPSAP2	RP11-540N4.1
APP	FRMD6
UBC	YFR037C
DAAP-285E11.4	TUBA4A
HSPD1	MCM2
QPCT	RP11-391H12.1
SMAD3	TGFB1I1
CUL3	RHOA
EGFR	TBK1
CRY2	USP7
CPSF7	SMAD2
MCM2	RPL23
APP	RP11-27I1.5
MAPK8	Wwox
C1QA	NLGN3
CUL3	YBX1
CSNK2A1	PACS1
APP	KIAA1191
APP	CLDN16
APP	MZT2A
CDC25C	RP11-307C12.1
RP1-302G2.1	YWHAE
ABI2	RP11-575L7.1
CSNK2A2	NOLC1
HSPA4	SMAD2
HIV1gp3	TBL1XR1
APP	RP1-267P19.1
GLYR1	HIST3H3
POT1	YWHAG
DADB-100D22.6	WDR5
AD-006	RP4-531M19.2
CLASP1	YWHAE
POT1	TRIP10
APP	RP11-260L6.1
HUSSY-27	RP11-18I14.1
ASPSCR1	UBXN7
CUL3	RP11-518L10.4
Bag2	CCT6A
AHCYL2	ZIC2
ACSL4	YWHAQ
HKDC1	KRAS
UBC	YKR001C
OK/SW-cl.26	TCP1
BARD1	SRPK2
CTA-216E10.7	RP1-85F18.1
RP5-1181N3.2	Srf
RP11-535C21.1	SMAD2
UBC	YGR204W
EGFR	UNQ128/PRO1063
RP1-130E4.1	UIMC1
APP	NDEL1
GS1-120K12.1	NSF
CDCA8	DPYSL2
BFSP2	BM-015
BTBD1	RP1-5O6.1
C11orf57	YTHDC1
PRAME	RP1-278E11.1
Bag2	DNAJB1
OIP5	QKI
COPS3	RP3-330O12.3
PP8000	S100P
KIF1C	RP11-274K13.3
MDS017	RP11-536C5.3
Samm50	TCP1
PML	SUZ12
RABEP1	RP11-74C1.1
CD81	STK10
HOXA1	RP11-328C17.1
BM-015	NDEL1
PSMD11	SMAD3
EGFR	EZR
CUL3	PCBD1
CALM1	Ppp1cc
APP	PUSL1
NCOR2	PPARG
CBX4	CSNK2A1
RP13-349O20.1	YWHAE
TOM1L1	UBC
DPYSL2	VPS28
HIST2H2AC	RP4-592A1.1
RP11-446F17.4	TERF1
UBC	YEL046C
NONO	PIN1
DDX18	UBC
METTL1	UBE3A
UBC	YOR133W
TRAF3	UCHL1
PCGF6	PEX10
CUL3	UBE2M
DDX3X	PIN1
RP1-130E4.1	SKP1
CSNK2A1	SFPQ
CLK2	SRPK2
DASS-97D12.7	MYBL2
APP	PLCD1
HOMER3	SRPK2
RP1-18D14.8	RP11-540N4.1
EGR2	SNAI1
DYNC1LI1	EGFR
TERF1	WDR4
ACTR3B	MCM2
EIF2AK3	FOXK2
PRKDC	RP1-130E4.1
GS1-120K12.1	NOC3L
CHD8	TERF1
HIST2H2AC	YGL058W
EGFR	TSG101
PP8000	XPO1
UBC	mCG_124354
EGFR	RP3-339A18.2
NCOR1	SQSTM1
KPNA1	NCOR1
HSPC057	KRT8
CGI-141	NDUFS1
APP	GS1-273L24.4
PRKCSH	QRICH1
ANKRD28	FOXK2
C1orf35	SRPK2
BPTF	SMAD3
RP11-523H24.2	RP11-96K19.1
AHCYL1	SOX2
PP9092	RP1-85F18.1
AC002059.7	TRIM5
CCT6A	FKSG82
PATZ1	RP11-383C12.1
CSNK2A1	RP4-620E11.3
ARF3	DN-199E5.2
UBC	YMR226C
AKAP9	GS1-120K12.1
CUL3	LA16c-314G4.2
CCT6A	RP23-46N3.2
DNAJB1	RNASEH2B
GS1-120K12.1	SRSF9
INTS7	RP11-24B19.2
POLR2D	RP1-130E4.1
RP11-366O20.1	RP3-330O12.3
LRP1	TUBA4A
Rhoa	UBC
RP1-154G14.1	TGFBR2
RP11-426L16.2	RP3-407F17.2
KRAS	WDR36
NEDD8	RP11-575L7.1
NFKBIA	RP1-154G14.1
PLAUR	TUBA4A
DPYSL3	DPYSL5
CTPS1	RP3-330O12.3
CUL3	RP3-508I15.1
DAMC-146E17.2	YWHAE
FKSG27	NPC2
EZR	RP3-330O12.3
GRM3	PPM1A
ARG134	ICAM1
CALM1	CETN1
MCM2	RPS19
CUL3	MAP1B
HIST3H3	RP11-188C12.1
KIF5B	YWHAQ
DPY30	UBC
RP3-330O12.3	SLC25A11
RP11-383C12.1	RP11-69L16.1
AC002059.7	PNAS-107
E2f5	RP1-85F18.1
EGFR	STAT5A
NOS2	RP11-173P16.1
EIF3F	RP11-536C5.3
LP3587	RP11-24B19.2
MLH1	PMS1
HIST3H3	ITGA4
NCOR1	hCG_1646491
APP	HSPC189
RASSF1	RP3-339A18.4
APP	GEMIN8
HIV1gp4	KPNB1
CCT2	WDR5B
AC002059.7	WBP4
ATF2	CEBPA
RP11-66D17.12-002	SMAD2
MCM2	RP1-34B20.8
MCM2	RP6-29D12.1
SNRPA	SUZ12
CUL3	RHOBTB3
MCM2	RP3-412I7.4
INO80B	SRPK2
MCM2	RP11-481A12.7
CSNK2A2	GCFC2
GENX-3947	Hsph1
ASXL2	UBC
AC002059.7	HLC3
RP1-130E4.1	RP3-472A9.1
CHD3	PUF60
TCEB1	UBC
CALM1	Sbf1
RP3-330O12.3	VAPA
IL17RA	TBL1X
RP11-318E3.2	RP3-339A18.4
DN-393H17.5	TRIM28
APP	PKNOX1
UBC	YDL013W
HLC7	HSPC057
APP	TBC1D9B
APP	RP11-168K11.4
PTMA	YWHAE
CHGA	UBC
JSRP1	TERF1
CDKN2A	MCM2
EIF2AK3	NCEH1
APOBEC3C	IFI16
APP	HSPC216
GS1-120K12.1	NDUFS1
RP1-319D22.1	RP3-339A18.4
RP4-677H15.3	SRPK2
MCM7	ORC4
SNW1	TCP1
LMTK3	RP5-1112D6.1
RP1-240B8.3	RP11-575L7.1
ERP29	RP3-339A18.4
CCT6A	TYK2
MARS	RP3-330O12.3
HSPC057	RP1-319D22.1
EGFR	RP11-118F2.1
CCT7	RP11-529I10.2
PRDX2	U2AF2
HUSSY-27	RP11-68I18.9
RP1-130E4.1	TRRAP
RP11-1114A5.1	SNW1
DPPA4	RP11-391H12.1
Foxl2	RP1-130E4.1
CAND1	CRY2
VHL	ZNF197
ATM	TERF1
IGF2BP3	UBC
CHD8	ZNF143
APP	RP4-664K17.3
CCT7	SOD1
RP5-1054A22.2	VHL
PKM	SUZ12
CSNK2A1	HSPC075
DYNLL2	KRAS
AC002059.7	PGLS
ARHGAP32	EGFR
RHOBTB3	VHL
CEBPZ	ZNF746
DAQB-147D11.1	SUZ12
CSNK2A2	HIV1gp6
EGFR	JM21
LGALS1	PSG1
ICAM1	YBX1
RP1-85F18.1	RPS6KB2
CCT6A	TCP1
RP1-5O6.1	RP3-467L1.3
HNRNPF	RP1-108C2.3
RASD1	TRIM37
APP	PRRC1
RP23-33N15.1	TCEB2
CCT6B	RP11-401E9.1
RP11-96K19.1	RP23-139P21.1
APP	hCG_1817841
TCP1	Tube1
CEBPA	HRIHFB2411
RP1-130E4.1	TUBA1A
CDKN2A	PCNA
KLC2	MIS12
PRDX2	UBA3
CLK1	SLFN5
EGFR	SOCS4
CUL3	WDR81
APP	MARCH3
CALM1	RP11-167I10.1
Gspt1	TBL1XR1
AP2A2	APP
ELAVL1	KLHL24
MED15	SMAD2
RP11-168K11.4	Ywhaq
NAGK	RBM3
DADB-159G18.3	GS1-120K12.1
Prdx2	STXBP5L
AC002059.7	ETV3
MCM7	RP1-34B20.8
RP3-330O12.3	RP4-568C11.2
CUL3	RP11-124N14.1
JM2	SATB2
CUL3	IPO8
RAI14	YWHAQ
KIF1C	PPM1H
MED1	YWHAQ
CSNK2A1	RP11-536C5.3
TRAF6	WDR5
EGFR	SLC7A5
GLI1	SMAD2
ANKRD13D	APP
RPSAP15	SMAD3
CELE_ZK328.5	KPNB1
EGFR	XPO7
ERCC6	UBC
