	gene	ID
0	AMELY	['266']
1	BPY2	['9083']
2	BPY2B	['442867']
3	BPY2C	['442868']
4	CDY1	['9085']
5	CDY1B	['253175']
6	CDY2A	['9426']
7	CDY2B	['203611']
8	DAZ1	['1617']
9	DAZ2	['57055']
10	DAZ3	['57054']
11	DAZ4	['57135']
12	DDX3Y	['8653']
13	EIF1AY	['9086']
14	HSFY1	['86614']
15	HSFY2	['159119']
16	KDM5D	['8284']
17	NLGN4Y	['22829']
18	PCDH11Y	['83259', '27328']
19	PRORY	['100533178']
20	PRY	['9081']
21	PRY2	['442862']
22	RBMY1A1	['5940', '378949']
23	RBMY1B	['378948']
24	RBMY1D	['378948', '378949']
25	RBMY1E	['378950']
26	RBMY1F	['159163']
27	RBMY1J	['378951']
28	RPS4Y1	['6192']
29	RPS4Y2	['140032']
30	SRY	['6736']
31	TBL1Y	['90665']
32	TGIF2LY	['90655']
33	TMSB4Y	['9087']
34	TSPY1	['7258', '100289087', '728137']
35	TSPY2	['64591']
36	TSPY3	['100289087', '728137']
37	TSPY4	['728395']
38	TSPY8	['728395', '728403']
39	TSPY10	['728395', '100289087', '728137']
40	USP9Y	['8287']
41	UTY	['7404']
42	VCY	['9084']
43	VCY1B	['353513']
44	ZFY	['7544']
