gene	id
AMELY	266
BPY2	9083
BPY2B	442867
BPY2C	442868
CDY1	9085
CDY1B	253175
CDY2A	9426
CDY2B	203611
DAZ1	1617
DAZ2	57055
DAZ3	57054
DAZ4	57135
DDX3Y	8653
EIF1AY	9086
HSFY1	86614
HSFY2	159119
KDM5D	8284
NLGN4Y	22829
PCDH11Y	83259
PRORY	100533178
PRY	9081
PRY2	442862
RBMY1A1	5940
RBMY1B	378948
RBMY1D	378949
RBMY1E	378950
RBMY1F	159163
RBMY1J	378951
RPS4Y1	6192
RPS4Y2	140032
SRY	6736
TBL1Y	90665
TGIF2LY	90655
TMSB4Y	9087
TSPY1	728403
TSPY2	64591
TSPY3	728137
TSPY4	728395
TSPY8	728395
TSPY10	100289087
USP9Y	8287
UTY	7404
VCY	9084
VCY1B	353513
ZFY	7544
