query_ID	query_uniprot	partner_uniprot	query_symbol	partner_symbol	species	evidence_type
AMELY	Q99218	Q9NP70	AMELY	AMBN	human	pred
AMELY	Q99218	P02808	AMELY	STATH	human	pred
AMELY	Q99218	O75367	AMELY	H2AFY	human	pred
AMELY	Q99218	P46379	AMELY	BAG6	human	pred
AMELY	Q99218	P02818	AMELY	BGLAP	human	pred
AMELY	Q99218	P51817	AMELY	PRKX	human	pred
AMELY	Q99218	Q13976	AMELY	PRKG1	human	pred
AMELY	Q99218	Q9Y462	AMELY	ZNF711	human	pred
AMELY	Q99218	P02765	AMELY	AHSG	human	pred
AMELY	Q99218	Q9NRM1	AMELY	ENAM	human	pred
AMELY	Q99218	Q8N5Y2	AMELY	MSL3	human	pred
AMELY	Q99218	P09884	AMELY	POLA1	human	pred
AMELY	Q99218	P43366	AMELY	MAGEB1	human	pred
AMELY	Q99218	Q9BQ87	AMELY	TBL1Y	human	pred
AMELY	Q99218	Q2MKA7	AMELY	RSPO1	human	pred
AMELY	Q99218	Q9NNX1	AMELY	TUFT1	human	pred
AMELY	Q99218	P17010	AMELY	ZFX	human	pred
AMELY	Q99218	Q9HCJ1	AMELY	ANKH	human	pred
AMELY	Q99218	O43824	AMELY	GTPBP6	human	pred
AMELY	Q99218	O00548	AMELY	DLL1	human	pred
AMELY	Q99218	O15550	AMELY	KDM6A	human	pred
AMELY	Q99218	P12236	AMELY	SLC25A6	human	pred
AMELY	Q99218	O43930	AMELY	PRKY	human	pred
AMELY	Q99218	Q99217	AMELY	AMELX	human	pred
BPY2	O14599	O14933	BPY2	UBE2L6	human	pred
BPY2	O14599	Q9NS23	BPY2	RASSF1	human	pred
BPY2	O14599	P03372	BPY2	ESR1	human	pred
BPY2	O14599	O14543	BPY2	SOCS3	human	pred
BPY2	O14599	Q66K74	BPY2	MAP1S	human	exp
BPY2	O14599	P51451	BPY2	BLK	human	pred
BPY2	O14599	Q05086	BPY2	UBE3A	human	exp_pred
BPY2	O14599	Q9GZQ8	BPY2	MAP1LC3B	human	pred
BPY2	O14599	Q9UHD9	BPY2	UBQLN2	human	pred
BPY2	O14599	P05015	BPY2	IFNA16	human	pred
BPY2	O14599	P06401	BPY2	PGR	human	pred
BPY2B	O14599	O14933	BPY2	UBE2L6	human	pred
BPY2B	O14599	Q9NS23	BPY2	RASSF1	human	pred
BPY2B	O14599	P03372	BPY2	ESR1	human	pred
BPY2B	O14599	O14543	BPY2	SOCS3	human	pred
BPY2B	O14599	Q66K74	BPY2	MAP1S	human	exp
BPY2B	O14599	P51451	BPY2	BLK	human	pred
BPY2B	O14599	Q05086	BPY2	UBE3A	human	exp_pred
BPY2B	O14599	Q9GZQ8	BPY2	MAP1LC3B	human	pred
BPY2B	O14599	Q9UHD9	BPY2	UBQLN2	human	pred
BPY2B	O14599	P05015	BPY2	IFNA16	human	pred
BPY2B	O14599	P06401	BPY2	PGR	human	pred
BPY2C	O14599	O14933	BPY2	UBE2L6	human	pred
BPY2C	O14599	Q9NS23	BPY2	RASSF1	human	pred
BPY2C	O14599	P03372	BPY2	ESR1	human	pred
BPY2C	O14599	O14543	BPY2	SOCS3	human	pred
BPY2C	O14599	Q66K74	BPY2	MAP1S	human	exp
BPY2C	O14599	P51451	BPY2	BLK	human	pred
BPY2C	O14599	Q05086	BPY2	UBE3A	human	exp_pred
BPY2C	O14599	Q9GZQ8	BPY2	MAP1LC3B	human	pred
BPY2C	O14599	Q9UHD9	BPY2	UBQLN2	human	pred
BPY2C	O14599	P05015	BPY2	IFNA16	human	pred
BPY2C	O14599	P06401	BPY2	PGR	human	pred
CDY1	Q9Y6F8	Q8TDI0	CDY1	CHD5	human	pred
CDY1	Q9Y6F8	Q12873	CDY1	CHD3	human	pred
CDY1	Q9Y6F8	Q92769	CDY1	HDAC2	human	pred
CDY1	Q9Y6F8	Q8TD26	CDY1	CHD6	human	pred
CDY1	Q9Y6F8	Q9Y294	CDY1	ASF1A	human	pred
CDY1	Q9Y6F8	Q13185	CDY1	CBX3	human	pred
CDY1	Q9Y6F8	Q8N8U2	CDY1	CDYL2	human	pred
CDY1	Q9Y6F8	Q13547	CDY1	HDAC1	human	pred
CDY1	Q9Y6F8	P0CG48	CDY1	UBC	human	exp
CDY1	Q9Y6F8	P45973	CDY1	CBX5	human	pred
CDY1	Q9Y6F8	Q9BXT4	CDY1	TDRD1	human	pred
CDY1	Q9Y6F8	P62805	CDY1	HIST1H4A	human	exp
CDY1	Q9Y6F8	Q14781	CDY1	CBX2	human	pred
CDY1	Q9Y6F8	Q9H5I1	CDY1	SUV39H2	human	pred
CDY1	Q9Y6F8	Q14839	CDY1	CHD4	human	pred
CDY1	Q9Y6F8	Q9Y232	CDY1	CDYL	human	pred
CDY1	Q9Y6F8	Q16777	CDY1	HIST2H2AC	human	exp
CDY1	Q9Y6F8	Q9Y6F8	CDY1	CDY1	human	exp_pred
CDY1	Q9Y6F8	O43463	CDY1	SUV39H1	human	pred
CDY1	Q9Y6F8	P83916	CDY1	CBX1	human	pred
CDY1B	Q9Y6F8	Q8TDI0	CDY1	CHD5	human	pred
CDY1B	Q9Y6F8	Q12873	CDY1	CHD3	human	pred
CDY1B	Q9Y6F8	Q92769	CDY1	HDAC2	human	pred
CDY1B	Q9Y6F8	Q8TD26	CDY1	CHD6	human	pred
CDY1B	Q9Y6F8	Q9Y294	CDY1	ASF1A	human	pred
CDY1B	Q9Y6F8	Q13185	CDY1	CBX3	human	pred
CDY1B	Q9Y6F8	Q8N8U2	CDY1	CDYL2	human	pred
CDY1B	Q9Y6F8	Q13547	CDY1	HDAC1	human	pred
CDY1B	Q9Y6F8	P0CG48	CDY1	UBC	human	exp
CDY1B	Q9Y6F8	P45973	CDY1	CBX5	human	pred
CDY1B	Q9Y6F8	Q9BXT4	CDY1	TDRD1	human	pred
