gene_1	gene_2
BPY2	UBE3A
EWSR1	TMSB4Y
BPY2	MAP1S
SHE2	PRY2
UTY	TLE1
TLE1	UTY
UTY	TLE2
DAZL	DAZ1
AR	SRY
DAZAP1	DAZ1
DAZAP2	DAZ1
DAZ1	DAZAP1
DAZ1	DAZAP2
DAZ1	DAZ1
DAZ1	DAZL
ACTA1	TMSB4Y
HEK2	PRY2
RPAP1	DDX3Y
PMS1	USP9Y
NCOA6	UTY
SRY	SP1
ZFY	ZBTB9
PCBD2	TGIF2LY
TSPY1	HIST2H2AC
TSPY1	HIST2H2BE
SRY	Xpo4
SAP25	DDX3Y
CSNK2A1	TSPY1
AIM3	PRY2
SRY	EP300
EP300	SRY
KPNB1	SRY
SRY	HDAC3
TOP1	PRY2
POT1	DDX3Y
SMAD3	SRY
YWHAQ	TGIF2LY
NAB3	PRY2
SIRT1	USP9Y
CALM1	RPS4Y1
VHL	DDX3Y
KDM5D	HIST3H3
KDM5D	PCGF6
SRY	WDR5
TERF1	RBMY1A1
TERF1	TMSB4Y
TERF2IP	TMSB4Y
POT1	TMSB4Y
CUL3	EIF1AY
CUL4A	CDY2B
CUL4A	CDY2A
SHBG	DDX3Y
ATXN1	EIF1AY
SMAD2	DDX3Y
SMAD3	DDX3Y
SHC1	USP9Y
PRY1	PRY2
SRY	Dlx5
SRY	Hhex
SRY	Utf1
SRY	Pou3f3
SRY	Tcf12
SRY	Olig2
SRY	Jun
SRY	Cebpa
SRY	Egr2
SRY	Sp1
SRY	Pax3
VCY1B	APP
TSPY2	APP
ESR1	DDX3Y
UBC	CDY1B
YWHAE	RBMY1A1
Hoxa1	HSFY1
USP9Y	UBC
DAZ1	PUM2
DAZ1	QKI
DAZ1	BOLL
DAZ1	DZIP1
DAZ1	DZIP1L
DAZ1	DZIP3
CD81	DDX3Y
CD81	RPS4Y1
IGSF8	DDX3Y
IGSF8	RPS4Y1
ICAM1	RPS4Y1
PRDX2	UTY
UBX2	PRY2
SPI1	PRY2
GAS1	PRY2
MYO5	PRY2
SRPK2	EIF1AY
FBXO6	DDX3Y
WWOX	DDX3Y
CSNK1E	USP9Y
HSFY1	E2F7
HSFY1	HSFY2
HSFY1	NDUFS1
HSFY1	PPM1A
HSFY1	AIF1
HSFY1	RABEP1
RBFOX1	HSFY1
TBX6	HSFY1
HUWE1	EIF1AY
CIRBP	RBMY1A1
CIRBP	RBMY1F
CLK3	RBMY1A1
CLK3	RBMY1F
HNRNPF	HSFY1
HNRNPK	RBMY1A1
HNRNPK	RBMY1F
NAB2	TGIF2LY
RBM3	RBMY1A1
RBM3	RBMY1F
RBMY1A1	RBMY1A1
RBMY1A1	DAAM2
RBMY1A1	PRPF31
RBMY1A1	RBMX
RBMY1A1	APOBEC3C
RBMY1A1	PCDHB14
RBMY1A1	ZNF317
RBMY1A1	AEN
RBMY1A1	PRR3
RBMY1A1	LNX1
RBMY1A1	CBX2
SOX15	HSFY1
GCM2	HSFY1
SV2B	HSFY1
DAAM2	RBMY1F
PRPF31	RBMY1F
RBMX	RBMY1F
APOBEC3C	RBMY1F
MBIP	TGIF2LY
RASD1	RBMY1F
RBM47	HSFY1
QRICH1	HSFY1
PCDHB14	RBMY1F
AEN	RBMY1F
PRR3	RBMY1F
FAM103A1	RBMY1F
CBX2	RBMY1F
YTHDC1	RBMY1F
RBMY1F	RBMY1F
RBMY1F	ZNF385C
SUZ12	TBL1Y
RNF2	RPS4Y1
RNF2	ZFY
VSX1	USP9Y
RPS4Y1	RPS4Y2
PRPS1	RPS4Y1
DDX3Y	CCNB2
APP	VCY
REV3L	CDY1
KRAS	USP9Y
CLK1	RPS4Y1
ODF2	DDX3Y
POC1A	DDX3Y
RBMY1F	HNRNPK
ZNF317	RBMY1A1
PCNA	UTY
KIF1C	UTY
Hsph1	USP9Y
FOXK2	TBL1Y
CRY2	DDX3Y
MCM2	DDX3Y
RPT3	PRY2
APC1	PRY2
SNT1	PRY2
TIF2	PRY2
NHA1	PRY2
PKC1	PRY2
ABD1	PRY2
RPN6	PRY2
DBF4	PRY2
TRS23	PRY2
COG3	PRY2
SEC24	PRY2
ARP3	PRY2
VTI1	PRY2
POL1	PRY2
HSP10	PRY2
GLN4	PRY2
ACS1	PRY2
SCT1	PRY2
AST1	PRY2
YBL100W-C	PRY2
YCR075W-A	PRY2
PBP4	PRY2
PET100	PRY2
ADR1	PRY2
PIB1	PRY2
PFA5	PRY2
IRC4	PRY2
GDA1	PRY2
YER053C-A	PRY2
CAF16	PRY2
RPO41	PRY2
ULI1	PRY2
ERG4	PRY2
SDS23	PRY2
TOS8	PRY2
NEL1	PRY2
AVT3	PRY2
LOS1	PRY2
PRY2	SLX5
PRY2	SPE1
PRY2	SAC1
PRY2	INO4
PRY2	CKB2
PRY2	DIA2
PRY2	PDE2
PRY2	BTS1
MMM1	PRY2
COX19	PRY2
QRI5	PRY2
CUE4	PRY2
YMR196W	PRY2
PET111	PRY2
LAP2	PRY2
SFB2	PRY2
VAC7	PRY2
RIM21	PRY2
YOL107W	PRY2
MDY2	PRY2
SLP1	PRY2
BIL1	PRY2
GUP2	PRY2
DSS4	PRY2
ZNF746	RPS4Y1
ZNF746	RPS4Y2
EGFR	EIF1AY
NLGN3	NLGN4Y
TGIF2LY	TGIF2LX
EIF1AY	EIF1AX
TBL1Y	TBL1X
TBL1Y	NCOR2
ZFY	ZFX
EIF1AY	KLHL36
TBL1Y	TBL1XR1
TBL1Y	GPS2
TBL1Y	NCOR1
TBL1Y	HDAC3
ZFY	NSD1
TGIF2LY	LRP6
CLK3	USP9Y
TGIF2LY	PDCD4
HSFY1	TUBA3C
TGIF2LY	ANKHD1-EIF4EBP3
TGIF2LY	OGFR
ZFY	CACNB3
NLGN4Y	PRIM1
TGIF2LY	CRBN
TBL1Y	CAPN15
TGIF2LY	AHCYL2
TGIF2LY	PGP
TGIF2LY	GMNN
TGIF2LY	DCAF16
TGIF2LY	THNSL1
TGIF2LY	LRP5
NLGN4Y	PRIM2
TBL1Y	INTS6
TGIF2LY	IRGQ
TGIF2LY	PBK
HSFY1	SATB2
HSFY1	POTEF
HSFY1	CHD4
TBL1Y	MAP3K7
TGIF2LY	ARIH1
NCKIPSD	USP9Y
ZNF331	USP9Y
TGIF2LY	DPYSL5
CSNK1E	RPS4Y2
TGIF2LY	AHCYL1
TBL1Y	LRIF1
TGIF2LY	UBXN7
TBL1Y	CCT2
HSFY1	CHD3
HSFY1	MIS12
TBL1Y	TAB1
TBL1Y	DNAJB1
TBL1Y	WDR36
TBL1Y	CCT3
NUDCD2	DDX3Y
