Query UniProt	Partner UniProt	Query Symbol	Partner Symbol
O14599	Q66K74	BPY2	MAP1S
O14599	Q05086	BPY2	UBE3A
Q9Y6F8	P0CG48	CDY1	UBC
Q9Y6F8	P62805	CDY1	HIST1H4A
Q9Y6F8	Q16777	CDY1	HIST2H2AC
Q9Y6F8	Q9Y6F8	CDY1	CDY1
Q9Y6F7	Q13619	CDY2A	CUL4A
Q9NQZ3	Q96EP5	DAZ1	DAZAP1
Q9NQZ3	Q86YF9	DAZ1	DZIP1
Q9NQZ3	Q8IYY4	DAZ1	DZIP1L
Q9NQZ3	Q8TB72	DAZ1	PUM2
Q9NQZ3	P63167	DAZ1	DYNLL1
Q9NQZ3	Q9NQZ3	DAZ1	DAZ1
Q9NQZ3	Q96PU8	DAZ1	QKI
Q9NQZ3	Q15038	DAZ1	DAZAP2
Q9NQZ3	Q8N9W6	DAZ1	BOLL
Q9NQZ3	Q86Y13	DAZ1	DZIP3
Q9NQZ3	Q92904	DAZ1	DAZL
Q9NR90	Q8TB72	DAZ3	PUM2
Q86SG3	Q92904	DAZ4	DAZL
Q86SG3	Q8TB72	DAZ4	PUM2
Q86SG3	Q96PU8	DAZ4	QKI
Q86SG3	Q86YF9	DAZ4	DZIP1
O15523	O15523	DDX3Y	DDX3Y
O15523	P84022	DDX3Y	SMAD3
O15523	O75554	DDX3Y	WBP4
O15523	Q8NBT0	DDX3Y	POC1A
O15523	Q9BWH6	DDX3Y	RPAP1
O15523	P49736	DDX3Y	MCM2
O15523	O00213	DDX3Y	APBB1
O15523	O95067	DDX3Y	CCNB2
O15523	P40337	DDX3Y	VHL
O15523	Q15796	DDX3Y	SMAD2
O15523	Q49AN0	DDX3Y	CRY2
O15523	Q969P0	DDX3Y	IGSF8
O15523	Q5BJF6	DDX3Y	ODF2
O15523	Q9NUX5	DDX3Y	POT1
O15523	Q8TEE9	DDX3Y	SAP25
O15523	P04278	DDX3Y	SHBG
O15523	P03372	DDX3Y	ESR1
O15523	P46934	DDX3Y	NEDD4
O15523	Q8WVJ2	DDX3Y	NUDCD2
O15523	Q9NRD1	DDX3Y	FBXO6
