Query ID	Query UniProt	Partner UniProt	Query Symbol	Partner Symbol	Species	Evidence Type
O14599	O14599	Q66K74	BPY2	MAP1S	human	exp
O14599	O14599	Q05086	BPY2	UBE3A	human	exp,pred
Q9Y6F8	Q9Y6F8	P0CG48	CDY1	UBC	human	exp
Q9Y6F8	Q9Y6F8	P62805	CDY1	HIST1H4A	human	exp
Q9Y6F8	Q9Y6F8	Q16777	CDY1	HIST2H2AC	human	exp
Q9Y6F8	Q9Y6F8	Q9Y6F8	CDY1	CDY1	human	exp,pred
Q9Y6F7	Q9Y6F7	Q13619	CDY2A	CUL4A	human	exp
Q9NQZ3	Q9NQZ3	Q96EP5	DAZ1	DAZAP1	human	exp,pred
Q9NQZ3	Q9NQZ3	Q86YF9	DAZ1	DZIP1	human	exp,pred
Q9NQZ3	Q9NQZ3	Q8IYY4	DAZ1	DZIP1L	human	exp
Q9NQZ3	Q9NQZ3	Q8TB72	DAZ1	PUM2	human	exp,pred
Q9NQZ3	Q9NQZ3	P63167	DAZ1	DYNLL1	human	exp,pred
Q9NQZ3	Q9NQZ3	Q9NQZ3	DAZ1	DAZ1	human	exp
Q9NQZ3	Q9NQZ3	Q96PU8	DAZ1	QKI	human	exp
Q9NQZ3	Q9NQZ3	Q15038	DAZ1	DAZAP2	human	exp,pred
Q9NQZ3	Q9NQZ3	Q8N9W6	DAZ1	BOLL	human	exp,pred
Q9NQZ3	Q9NQZ3	Q86Y13	DAZ1	DZIP3	human	exp
Q9NQZ3	Q9NQZ3	Q92904	DAZ1	DAZL	human	exp,pred
Q9NR90	Q9NR90	Q8TB72	DAZ3	PUM2	human	exp
Q86SG3	Q86SG3	Q92904	DAZ4	DAZL	human	exp,pred
Q86SG3	Q86SG3	Q8TB72	DAZ4	PUM2	human	exp
Q86SG3	Q86SG3	Q96PU8	DAZ4	QKI	human	exp
Q86SG3	Q86SG3	Q86YF9	DAZ4	DZIP1	human	exp
O15523	O15523	O15523	DDX3Y	DDX3Y	human	exp
O15523	O15523	P84022	DDX3Y	SMAD3	human	exp
O15523	O15523	O75554	DDX3Y	WBP4	human	exp
O15523	O15523	Q8NBT0	DDX3Y	POC1A	human	exp
O15523	O15523	Q9BWH6	DDX3Y	RPAP1	human	exp
O15523	O15523	P49736	DDX3Y	MCM2	human	exp
O15523	O15523	O00213	DDX3Y	APBB1	human	exp
O15523	O15523	O95067	DDX3Y	CCNB2	human	exp
O15523	O15523	P40337	DDX3Y	VHL	human	exp
O15523	O15523	Q15796	DDX3Y	SMAD2	human	exp
O15523	O15523	Q49AN0	DDX3Y	CRY2	human	exp
O15523	O15523	Q969P0	DDX3Y	IGSF8	human	exp
O15523	O15523	Q5BJF6	DDX3Y	ODF2	human	exp
O15523	O15523	Q9NUX5	DDX3Y	POT1	human	exp
O15523	O15523	Q8TEE9	DDX3Y	SAP25	human	exp
O15523	O15523	P04278	DDX3Y	SHBG	human	exp
O15523	O15523	P03372	DDX3Y	ESR1	human	exp
O15523	O15523	P46934	DDX3Y	NEDD4	human	exp
O15523	O15523	Q8WVJ2	DDX3Y	NUDCD2	human	exp
O15523	O15523	Q9NRD1	DDX3Y	FBXO6	human	exp
O15523	O15523	Q13526	DDX3Y	PIN1	human	exp
O15523	O15523	Q14872	DDX3Y	MTF1	human	exp
O15523	O15523	P12931	DDX3Y	SRC	human	exp
O15523	O15523	Q9NZC7	DDX3Y	WWOX	human	exp
O15523	O15523	P60033	DDX3Y	CD81	human	exp
O15523	O15523	Q8IWL3	DDX3Y	HSCB	human	exp
O14602	O14602	P78362	EIF1AY	SRPK2	human	exp
O14602	O14602	P41235	EIF1AY	HNF4A	human	exp
O14602	O14602	Q8N4N3	EIF1AY	KLHL36	human	exp
O14602	O14602	P49770	EIF1AY	EIF2B2	human	exp
O14602	O14602	P47813	EIF1AY	EIF1AX	human	exp,pred
O14602	O14602	P54253	EIF1AY	ATXN1	human	exp
O14602	O14602	P63241	EIF1AY	EIF5A	human	exp
O14602	O14602	P55317	EIF1AY	FOXA1	human	exp
O14602	O14602	P55010	EIF1AY	EIF5	human	exp
O14602	O14602	Q7Z6Z7	EIF1AY	HUWE1	human	exp
O14602	O14602	O60841	EIF1AY	EIF5B	human	exp,pred
O14602	O14602	P00533	EIF1AY	EGFR	human	exp
O14602	O14602	Q13618	EIF1AY	CUL3	human	exp
Q96LI6	Q96LI6	Q9H081	HSFY1	MIS12	human	exp
