interactor_1_x	interactor_2_x	interactor_1_uniprot_x	interactor_2_uniprot_x	database_x	set_genes	interactor_1_y	interactor_2_y	interactor_1_uniprot_y	interactor_2_uniprot_y	database_y
BPY2	UBE3A	O14599	Q05086	BioGrid	frozenset({'BPY2', 'UBE3A'})	BPY2	UBE3A	O14599	Q05086	IID
EWSR1	TMSB4Y	Q01844	O14604	BioGrid	frozenset({'EWSR1', 'TMSB4Y'})	TMSB4Y	EWSR1	O14604	Q01844	IID
BPY2	MAP1S	O14599	Q66K74	BioGrid	frozenset({'BPY2', 'MAP1S'})	BPY2	MAP1S	O14599	Q66K74	IID
UTY	TLE1	O14607	Q04724	BioGrid	frozenset({'UTY', 'TLE1'})	UTY	TLE1	O14607	Q04724	IID
TLE1	UTY	Q04724	O14607	BioGrid	frozenset({'UTY', 'TLE1'})	UTY	TLE1	O14607	Q04724	IID
UTY	TLE2	O14607	Q04725	BioGrid	frozenset({'UTY', 'TLE2'})	UTY	TLE2	O14607	Q04725	IID
DAZL	DAZ1	Q92904	Q9NQZ3	BioGrid	frozenset({'DAZ1', 'DAZL'})	DAZ1	DAZL	Q9NQZ3	Q92904	IID
DAZ1	DAZL	Q9NQZ3	Q92904	BioGrid	frozenset({'DAZ1', 'DAZL'})	DAZ1	DAZL	Q9NQZ3	Q92904	IID
AR	SRY	P10275	Q05066	BioGrid	frozenset({'SRY', 'AR'})	SRY	AR	Q05066	P10275	IID
DAZAP1	DAZ1	Q96EP5	Q9NQZ3	BioGrid	frozenset({'DAZ1', 'DAZAP1'})	DAZ1	DAZAP1	Q9NQZ3	Q96EP5	IID
DAZ1	DAZAP1	Q9NQZ3	Q96EP5	BioGrid	frozenset({'DAZ1', 'DAZAP1'})	DAZ1	DAZAP1	Q9NQZ3	Q96EP5	IID
DAZAP2	DAZ1	Q15038	Q9NQZ3	BioGrid	frozenset({'DAZ1', 'DAZAP2'})	DAZ1	DAZAP2	Q9NQZ3	Q15038	IID
DAZ1	DAZAP2	Q9NQZ3	Q15038	BioGrid	frozenset({'DAZ1', 'DAZAP2'})	DAZ1	DAZAP2	Q9NQZ3	Q15038	IID
DAZ1	DAZ1	Q9NQZ3	Q9NQZ3	BioGrid	frozenset({'DAZ1'})	DAZ1	DAZ1	Q9NQZ3	Q9NQZ3	IID
