interactor_1	interactor_2	interactor_1_uniprot	interactor_2_uniprot	database
BPY2	UBE3A	O14599	Q05086	BioGrid
EWSR1	TMSB4Y	Q01844	O14604	BioGrid
BPY2	MAP1S	O14599	Q66K74	BioGrid
SHE2	PRY2	[]	O14603	BioGrid
UTY	TLE1	O14607	Q04724	BioGrid
TLE1	UTY	Q04724	O14607	BioGrid
UTY	TLE2	O14607	Q04725	BioGrid
DAZL	DAZ1	Q92904	Q9NQZ3	BioGrid
AR	SRY	P10275	Q05066	BioGrid
DAZAP1	DAZ1	Q96EP5	Q9NQZ3	BioGrid
DAZAP2	DAZ1	Q15038	Q9NQZ3	BioGrid
DAZ1	DAZAP1	Q9NQZ3	Q96EP5	BioGrid
DAZ1	DAZAP2	Q9NQZ3	Q15038	BioGrid
DAZ1	DAZ1	Q9NQZ3	Q9NQZ3	BioGrid
DAZ1	DAZL	Q9NQZ3	Q92904	BioGrid
ACTA1	TMSB4Y	P68133	O14604	BioGrid
HEK2	PRY2	P54753	O14603	BioGrid
RPAP1	DDX3Y	Q9BWH6	O15523	BioGrid
PMS1	USP9Y	P54277	O00507	BioGrid
NCOA6	UTY	Q14686	O14607	BioGrid
SRY	SP1	Q05066	P08047	BioGrid
ZFY	ZBTB9	P08048	Q96C00	BioGrid
PCBD2	TGIF2LY	Q9H0N5	Q8IUE0	BioGrid
TSPY1	HIST2H2AC	Q01534	Q16777	BioGrid
TSPY1	HIST2H2BE	Q01534	Q16778	BioGrid
SRY	Xpo4	Q05066	Q9C0E2	BioGrid
SAP25	DDX3Y	Q8TEE9	O15523	BioGrid
CSNK2A1	TSPY1	P68400	Q01534	BioGrid
AIM3	PRY2	[]	O14603	BioGrid
SRY	EP300	Q05066	Q09472	BioGrid
EP300	SRY	Q09472	Q05066	BioGrid
KPNB1	SRY	Q14974	Q05066	BioGrid
SRY	HDAC3	Q05066	O15379	BioGrid
TOP1	PRY2	P11387	O14603	BioGrid
POT1	DDX3Y	Q9NUX5	O15523	BioGrid
SMAD3	SRY	P84022	Q05066	BioGrid
YWHAQ	TGIF2LY	P27348	Q8IUE0	BioGrid
NAB3	PRY2	[]	O14603	BioGrid
SIRT1	USP9Y	Q96EB6	O00507	BioGrid
CALM1	RPS4Y1	P0DP23	P22090	BioGrid
VHL	DDX3Y	P40337	O15523	BioGrid
KDM5D	HIST3H3	Q9BY66	Q16695	BioGrid
KDM5D	PCGF6	Q9BY66	Q9BYE7	BioGrid
SRY	WDR5	Q05066	P61964	BioGrid
TERF1	RBMY1A1	P54274	P0DJD3	BioGrid
TERF1	TMSB4Y	P54274	O14604	BioGrid
TERF2IP	TMSB4Y	Q9NYB0	O14604	BioGrid
POT1	TMSB4Y	Q9NUX5	O14604	BioGrid
CUL3	EIF1AY	Q13618	O14602	BioGrid
CUL4A	CDY2B	Q13619	Q9Y6F7	BioGrid
CUL4A	CDY2A	Q13619	Q9Y6F7	BioGrid
SHBG	DDX3Y	P04278	O15523	BioGrid
ATXN1	EIF1AY	P54253	O14602	BioGrid
SMAD2	DDX3Y	Q15796	O15523	BioGrid
SMAD3	DDX3Y	P84022	O15523	BioGrid
SHC1	USP9Y	P29353	O00507	BioGrid
PRY1	PRY2	O14603	O14603	BioGrid
SRY	Dlx5	Q05066	P56178	BioGrid
SRY	Hhex	Q05066	Q03014	BioGrid
SRY	Utf1	Q05066	Q5T230	BioGrid
SRY	Pou3f3	Q05066	P20264	BioGrid
SRY	Tcf12	Q05066	Q99081	BioGrid
SRY	Olig2	Q05066	Q13516	BioGrid
SRY	Jun	Q05066	P05412	BioGrid
SRY	Cebpa	Q05066	P49715	BioGrid
SRY	Egr2	Q05066	P11161	BioGrid
SRY	Sp1	Q05066	P08047	BioGrid
SRY	Pax3	Q05066	P23760	BioGrid
VCY1B	APP	O14598	P05067	BioGrid
TSPY2	APP	A6NKD2	P05067	BioGrid
ESR1	DDX3Y	P03372	O15523	BioGrid
UBC	CDY1B	P0CG48	Q9Y6F8	BioGrid
YWHAE	RBMY1A1	P62258	P0DJD3	BioGrid
Hoxa1	HSFY1	P49639	Q96LI6	BioGrid
USP9Y	UBC	O00507	P0CG48	BioGrid
