Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
spermatogenesis	GO:0007283	biological process	9606	10	387	4.428363896737291E-11	4.782633008476275E-9	DAZ1; DAZ2; DAZ3; DAZ4; RBMY1B; TSPY1; TSPY2; TSPY4; TSPY8; USP9Y; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; TSPY2|IDBG-33|ENSG00000168757|64591|; TSPY4|IDBG-297318|ENSG00000233803|728395|; TSPY8|IDBG-298311|ENSG00000229549|728403|; USP9Y|IDBG-191|ENSG00000114374|8287|; 
RNA binding	GO:0003723	molecular function	9606	10	546	1.26455670499841E-9	6.828606206991415E-8	DAZ1; DAZ2; DAZ3; DAZ4; DDX3Y; EIF1AY; RBMY1B; RBMY1D; RBMY1E; RPS4Y1; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; DDX3Y|IDBG-198|ENSG00000067048|8653|; EIF1AY|IDBG-384|ENSG00000198692|9086|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; RBMY1D|IDBG-401968|ENSG00000244395|378948,378949|; RBMY1E|IDBG-401964|ENSG00000242389|378948,378949,378950,5940|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
gonadal mesoderm development	GO:0007506	biological process	9606	4	13	1.967227755017455E-9	7.082019918062838E-8	TSPY1; TSPY2; TSPY4; TSPY8; 	TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; TSPY2|IDBG-33|ENSG00000168757|64591|; TSPY4|IDBG-297318|ENSG00000233803|728395|; TSPY8|IDBG-298311|ENSG00000229549|728403|; 
cell differentiation	GO:0030154	biological process	9606	9	461	5.933132541999106E-9	1.6019457863397586E-7	DAZ1; DAZ2; DAZ3; DAZ4; SRY; TSPY1; TSPY2; TSPY4; TSPY8; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; SRY|IDBG-1|ENSG00000184895|6736|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; TSPY2|IDBG-33|ENSG00000168757|64591|; TSPY4|IDBG-297318|ENSG00000233803|728395|; TSPY8|IDBG-298311|ENSG00000229549|728403|; 
nucleotide binding	GO:0000166	molecular function	9606	8	452	1.0487678670356166E-7	2.2653385927969318E-6	DAZ1; DAZ2; DAZ3; DAZ4; RBMY1A1; RBMY1B; RBMY1D; RBMY1E; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; RBMY1D|IDBG-401968|ENSG00000244395|378948,378949|; RBMY1E|IDBG-401964|ENSG00000242389|378948,378949,378950,5940|; 
nucleus	GO:0005634	cellular component	9606	20	5730	1.1936518038802655E-6	2.148573246984478E-5	DAZ1; DAZ2; DAZ3; DAZ4; DDX3Y; KDM5D; RBMY1A1; RBMY1B; RBMY1D; RBMY1E; RPS4Y1; SRY; TBL1Y; TGIF2LY; TSPY1; TSPY2; TSPY4; TSPY8; UTY; ZFY; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; DDX3Y|IDBG-198|ENSG00000067048|8653|; KDM5D|IDBG-354|ENSG00000012817|8284|; RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; RBMY1D|IDBG-401968|ENSG00000244395|378948,378949|; RBMY1E|IDBG-401964|ENSG00000242389|378948,378949,378950,5940|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; SRY|IDBG-1|ENSG00000184895|6736|; TBL1Y|IDBG-67|ENSG00000092377|90665|; TGIF2LY|IDBG-16|ENSG00000176679|90655|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; TSPY2|IDBG-33|ENSG00000168757|64591|; TSPY4|IDBG-297318|ENSG00000233803|728395|; TSPY8|IDBG-298311|ENSG00000229549|728403|; UTY|IDBG-205|ENSG00000183878|7404|; ZFY|IDBG-11|ENSG00000067646|7544|; 
nucleic acid binding	GO:0003676	molecular function	9606	9	1162	1.4245707464536796E-5	2.1979091516713913E-4	DAZ1; DAZ2; DAZ3; DAZ4; DDX3Y; RBMY1A1; RBMY1B; RBMY1D; RBMY1E; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; DDX3Y|IDBG-198|ENSG00000067048|8653|; RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; RBMY1D|IDBG-401968|ENSG00000244395|378948,378949|; RBMY1E|IDBG-401964|ENSG00000242389|378948,378949,378950,5940|; 
nucleosome assembly	GO:0006334	biological process	9606	4	143	4.07249780355376E-5	5.497872034797576E-4	TSPY1; TSPY2; TSPY4; TSPY8; 	TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; TSPY2|IDBG-33|ENSG00000168757|64591|; TSPY4|IDBG-297318|ENSG00000233803|728395|; TSPY8|IDBG-298311|ENSG00000229549|728403|; 
multicellular organismal development	GO:0007275	biological process	9606	6	537	7.118282075471218E-5	8.541938490565463E-4	AMELY; DAZ1; DAZ2; DAZ3; DAZ4; RPS4Y1; 	AMELY|IDBG-58|ENSG00000099721|266|; DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
mRNA processing	GO:0006397	biological process	9606	4	206	1.6757541541160477E-4	0.0018098144864453316	RBMY1A1; RBMY1B; RBMY1D; RBMY1E; 	RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; RBMY1D|IDBG-401968|ENSG00000244395|378948,378949|; RBMY1E|IDBG-401964|ENSG00000242389|378948,378949,378950,5940|; 
RNA splicing	GO:0008380	biological process	9606	4	252	3.615003113551271E-4	0.0035492757842139756	RBMY1A1; RBMY1B; RBMY1D; RBMY1E; 	RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; RBMY1D|IDBG-401968|ENSG00000244395|378948,378949|; RBMY1E|IDBG-401964|ENSG00000242389|378948,378949,378950,5940|; 
sex differentiation	GO:0007548	biological process	9606	2	22	4.105020772919072E-4	0.0036945186956271647	SRY; TSPY1; 	SRY|IDBG-1|ENSG00000184895|6736|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
structural constituent of tooth enamel	GO:0030345	molecular function	9606	1	5	0.006836682248659137	0.05679705252732206	AMELY; 	AMELY|IDBG-58|ENSG00000099721|266|; 
histone demethylase activity (H3-K4 specific)	GO:0032453	molecular function	9606	1	6	0.008198615068102013	0.06324645909678696	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
histone H3-K4 demethylation	GO:0034720	biological process	9606	1	7	0.009558751995692647	0.06882301436898706	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
positive regulation of male gonad development	GO:2000020	biological process	9606	1	9	0.012273647265305498	0.07364188359183299	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
sequestering of actin monomers	GO:0042989	biological process	9606	1	9	0.012273647265305498	0.07364188359183299	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
regulation of actin polymerization or depolymerization	GO:0008064	biological process	9606	1	8	0.010917095303961672	0.07369039330174128	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
co-SMAD binding	GO:0070410	molecular function	9606	1	13	0.017681986947904627	0.07638618361494799	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
neurexin family protein binding	GO:0042043	molecular function	9606	1	13	0.017681986947904627	0.07638618361494799	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
positive regulation of translational initiation	GO:0045948	biological process	9606	1	13	0.017681986947904627	0.07638618361494799	DAZ1; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; 
vocalization behavior	GO:0071625	biological process	9606	1	13	0.017681986947904627	0.07638618361494799	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
translation activator activity	GO:0008494	molecular function	9606	1	10	0.013628410145833004	0.07746675240789286	DAZ1; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; 
