Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Folding of actin by CCT/TriC	13423	REACTOME	9606	7	9	1.946887850002756E-11	1.3277775137018795E-8	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; 
AndrogenReceptor	15906	NETPATH	9606	19	164	9.913123321529092E-11	3.3803750526414204E-8	AR; CEBPA; EGFR; EP300; ESR1; FOXA1; JUN; NCOA2; NCOA6; NCOR1; NCOR2; NSD1; SIRT1; SMAD3; SP1; SRC; SRY; TOP1; UBE3A; 	AR|IDBG-73722|ENSG00000169083|367|; CEBPA|IDBG-409028|ENSG00000245848|1050|; EGFR|IDBG-16933|ENSG00000146648|1956|; EP300|IDBG-8992|ENSG00000100393|2033|; ESR1|IDBG-97997|ENSG00000091831|2099|; FOXA1|IDBG-5104|ENSG00000129514|3169|; JUN|IDBG-99221|ENSG00000177606|3725|; NCOA2|IDBG-24827|ENSG00000140396|10499|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; NSD1|IDBG-59534|ENSG00000165671|64324|; SIRT1|IDBG-75847|ENSG00000096717|23411|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; SRC|IDBG-74081|ENSG00000197122|6714|; SRY|IDBG-1|ENSG00000184895|6736|; TOP1|IDBG-75139|ENSG00000198900|7150|; UBE3A|IDBG-4274|ENSG00000114062|7337|; 
Formation of tubulin folding intermediates by CCT/TriC	13443	REACTOME	9606	8	21	1.6109456851597596E-9	3.662216524263187E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Prefoldin mediated transfer of substrate  to CCT/TriC	13442	REACTOME	9606	8	27	1.602146591018839E-8	2.1853279501496966E-6	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
TGF_beta_Receptor	15911	NETPATH	9606	19	220	1.4608406024396018E-8	2.490733227159521E-6	AR; CCNB2; EP300; ERBB2IP; ESR1; EWSR1; HGS; HNF4A; JUN; KPNB1; MAP3K7; PPM1A; SHC1; SMAD2; SMAD3; SP1; SRC; TAB1; XPO4; 	AR|IDBG-73722|ENSG00000169083|367|; CCNB2|IDBG-14456|ENSG00000157456|9133|; EP300|IDBG-8992|ENSG00000100393|2033|; ERBB2IP|IDBG-24405|ENSG00000112851|55914|; ESR1|IDBG-97997|ENSG00000091831|2099|; EWSR1|IDBG-3488|ENSG00000182944|2130|; HGS|IDBG-72504|ENSG00000185359|9146|; HNF4A|IDBG-76498|ENSG00000101076|3172|; JUN|IDBG-99221|ENSG00000177606|3725|; KPNB1|IDBG-56053|ENSG00000108424|3837|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; PPM1A|IDBG-8210|ENSG00000100614|5494|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SP1|IDBG-36616|ENSG00000185591|6667|; SRC|IDBG-74081|ENSG00000197122|6714|; TAB1|IDBG-8281|ENSG00000100324|10454|; XPO4|IDBG-13860|ENSG00000132953|64328|; 
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	18485	REACTOME	9606	8	28	2.208677823030494E-8	2.5105304588446618E-6	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Association of TriC/CCT with target proteins during biosynthesis	13422	REACTOME	9606	8	29	3.003405130657525E-8	2.926174713012046E-6	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; 
Circadian Clock	13672	REACTOME	9606	10	55	4.149262097376307E-8	3.5372459380133016E-6	CRY2; CSNK1E; EP300; HDAC3; NCOA2; NCOA6; NCOR1; TBL1X; TBL1XR1; UBC; 	CRY2|IDBG-41167|ENSG00000121671|1408|; CSNK1E|IDBG-236645|ENSG00000213923|102800317,1454|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA2|IDBG-24827|ENSG00000140396|10499|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cellular responses to stress	16723	REACTOME	9606	19	240	5.980155596672161E-8	4.53162901881157E-6	CBX2; DNAJB1; EEF1A1; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; JUN; POT1; PRDX2; RNF2; SIRT1; SP1; SUZ12; TERF1; TERF2IP; UBC; VHL; YWHAE; 	CBX2|IDBG-71184|ENSG00000173894|84733|; DNAJB1|IDBG-33491|ENSG00000132002|3337|; EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; JUN|IDBG-99221|ENSG00000177606|3725|; POT1|IDBG-39151|ENSG00000128513|25913|; PRDX2|IDBG-31024|ENSG00000167815|7001|; RNF2|IDBG-105369|ENSG00000121481|6045|; SIRT1|IDBG-75847|ENSG00000096717|23411|; SP1|IDBG-36616|ENSG00000185591|6667|; SUZ12|IDBG-39777|ENSG00000178691|23512|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; UBC|IDBG-64029|ENSG00000150991|7316|; VHL|IDBG-17819|ENSG00000134086|7428|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
Alpha6Beta4Integrin	15905	NETPATH	9606	11	74	7.613719674653118E-8	5.192556818113426E-6	AR; EGFR; ERBB2IP; JUN; SHC1; SMAD2; SMAD3; SRC; YWHAE; YWHAQ; YWHAZ; 	AR|IDBG-73722|ENSG00000169083|367|; EGFR|IDBG-16933|ENSG00000146648|1956|; ERBB2IP|IDBG-24405|ENSG00000112851|55914|; JUN|IDBG-99221|ENSG00000177606|3725|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD2|IDBG-3127|ENSG00000175387|4087|; SMAD3|IDBG-18366|ENSG00000166949|4088|; SRC|IDBG-74081|ENSG00000197122|6714|; YWHAE|IDBG-14629|ENSG00000108953|7531|; YWHAQ|IDBG-27933|ENSG00000134308|10971|; YWHAZ|IDBG-30919|ENSG00000164924|7534|; 
NOTCH1 Intracellular Domain Regulates Transcription	13296	REACTOME	9606	9	45	8.456390221914901E-8	5.2429619375872385E-6	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
REV-ERBA represses gene expression	13671	REACTOME	9606	7	24	1.4883546704640687E-7	8.458815710470791E-6	EP300; HDAC3; NCOA2; NCOA6; NCOR1; TBL1X; TBL1XR1; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOA2|IDBG-24827|ENSG00000140396|10499|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; 
Chaperonin-mediated protein folding	18121	REACTOME	9606	9	49	1.8425507296980164E-7	9.666304597338824E-6	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
