Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
G-protein coupled receptor signaling pathway	GO:0007186	biological process	9606	2	979	0.9995398825534476	1.0	JAK2; RASD1; 	JAK2|IDBG-47039|ENSG00000096968|3717|; RASD1|IDBG-33016|ENSG00000108551|51655|; 
transmembrane transport	GO:0055085	biological process	9606	2	766	0.9965429873079502	0.9988078577336501	SV2B; UBC; 	SV2B|IDBG-30872|ENSG00000185518|9899|; UBC|IDBG-64029|ENSG00000150991|7316|; 
immune response	GO:0006955	biological process	9606	1	367	0.9760460770616048	0.9804927562281724	SMAD3; 	SMAD3|IDBG-18366|ENSG00000166949|4088|; 
inflammatory response	GO:0006954	biological process	9606	1	315	0.9591731097364328	0.9646415995296848	AIF1; 	AIF1|IDBG-78190|ENSG00000204472|199|; 
cell-cell signaling	GO:0007267	biological process	9606	1	244	0.9156505692141528	0.9224486602477244	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
cell surface receptor signaling pathway	GO:0007166	biological process	9606	1	238	0.9103277048300714	0.9176103264687121	EGFR; 	EGFR|IDBG-16933|ENSG00000146648|1956|; 
positive regulation of GTPase activity	GO:0043547	biological process	9606	1	237	0.9094086339402592	0.9172080218814278	RABEP1; 	RABEP1|IDBG-21268|ENSG00000029725|9135|; 
ion transmembrane transport	GO:0034220	biological process	9606	1	226	0.8986590712776721	0.9068847836005798	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
cell adhesion	GO:0007155	biological process	9606	3	462	0.8451160771060975	0.8557891848537061	APP; ICAM1; NLGN4Y; 	APP|IDBG-1100|ENSG00000142192|351|; ICAM1|IDBG-26804|ENSG00000090339|3383|; NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
extracellular matrix organization	GO:0030198	biological process	9606	2	312	0.8227332133652733	0.8350410750151565	APP; ICAM1; 	APP|IDBG-1100|ENSG00000142192|351|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
