Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
calcium ion binding	GO:0005509	molecular function	9606	2	718	0.9946142515105628	0.9980088393996774	AIF1; PCDHB14; 	AIF1|IDBG-78190|ENSG00000204472|199|; PCDHB14|IDBG-50224|ENSG00000120327|56122|; 
catalytic activity	GO:0003824	molecular function	9606	3	604	0.943909426127032	0.949832417391948	APOBEC3C; PPM1A; TAB1; 	APOBEC3C|IDBG-402340|ENSG00000244509|27350|; PPM1A|IDBG-8210|ENSG00000100614|5494|; TAB1|IDBG-8281|ENSG00000100324|10454|; 
transporter activity	GO:0005215	molecular function	9606	1	252	0.9222618865860248	0.9285787488229156	SV2B; 	SV2B|IDBG-30872|ENSG00000185518|9899|; 
structural molecule activity	GO:0005198	molecular function	9606	1	219	0.8911672496255921	0.9003545408588455	ODF2; 	ODF2|IDBG-88092|ENSG00000136811|4957|; 
carbohydrate binding	GO:0030246	molecular function	9606	1	184	0.844597122131358	0.8562467376090319	FBXO6; 	FBXO6|IDBG-89462|ENSG00000116663|26270|; 
actin binding	GO:0003779	molecular function	9606	2	329	0.8447637345213068	0.8559237379067118	DAAM2; TMSB4Y; 	DAAM2|IDBG-86252|ENSG00000146122|23500|; TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
structural constituent of ribosome	GO:0003735	molecular function	9606	1	169	0.8190035150994428	0.8317341396864808	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
growth factor activity	GO:0008083	molecular function	9606	1	162	0.8056652464630868	0.8191316972685218	RABEP1; 	RABEP1|IDBG-21268|ENSG00000029725|9135|; 
signal transducer activity	GO:0004871	molecular function	9606	2	280	0.7736072641907135	0.7897240821946866	EGFR; PPM1A; 	EGFR|IDBG-16933|ENSG00000146648|1956|; PPM1A|IDBG-8210|ENSG00000100614|5494|; 
heparin binding	GO:0008201	molecular function	9606	1	137	0.7495372557886543	0.7691586499192473	APP; 	APP|IDBG-1100|ENSG00000142192|351|; 
