Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
metabolic process	GO:0008152	biological process	9606	1	1195	0.8160930483361138	0.8640985217676501	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
regulation of transcription, DNA-templated	GO:0006355	biological process	9606	2	1898	0.7493506759406269	0.8174734646625021	TGIF2LY; ZFY; 	TGIF2LY|IDBG-16|ENSG00000176679|90655|; ZFY|IDBG-11|ENSG00000067646|7544|; 
gene expression	GO:0010467	biological process	9606	1	680	0.6132609471158045	0.6971808661948092	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
positive regulation of transcription, DNA-templated	GO:0045893	biological process	9606	1	563	0.5434495684931375	0.6379625369267267	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
cellular protein metabolic process	GO:0044267	biological process	9606	1	538	0.5270349824455867	0.632441978934704	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
viral process	GO:0016032	biological process	9606	1	545	0.5316873957391752	0.6310136125256146	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
transcription, DNA-templated	GO:0006351	biological process	9606	3	1938	0.5046278859014492	0.6123574345770396	TBL1Y; TGIF2LY; ZFY; 	TBL1Y|IDBG-67|ENSG00000092377|90665|; TGIF2LY|IDBG-16|ENSG00000176679|90655|; ZFY|IDBG-11|ENSG00000067646|7544|; 
transcription from RNA polymerase II promoter	GO:0006366	biological process	9606	1	478	0.4852920902647155	0.5955857471430599	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
cell adhesion	GO:0007155	biological process	9606	1	462	0.4735757971715082	0.5878871964887689	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
regulation of transcription from RNA polymerase II promoter	GO:0006357	biological process	9606	1	385	0.4135107284311852	0.5446238862264391	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
