Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Signaling by GPCR	17449	REACTOME	9606	5	1035	0.9975604498001812	0.9993611004315894	AKT2; APP; EGFR; JAK2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; EGFR|IDBG-16933|ENSG00000146648|1956|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
GPCR downstream signaling	18003	REACTOME	9606	4	923	0.9978743887850438	0.9978743887850438	AKT2; APP; JAK2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Transmembrane transport of small molecules	16726	REACTOME	9606	4	606	0.9514097330535254	0.9548506362472092	NCOA6; TBL1X; TBL1XR1; UBC; 	NCOA6|IDBG-68724|ENSG00000198646|23054|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Metabolism	19429	REACTOME	9606	14	1535	0.9310111169935028	0.9360709600206414	CACNB3; EP300; HDAC3; HS2ST1; KPNB1; NCOA6; NCOR1; NCOR2; NDUFS1; PRPS1; SP1; TBL1X; TBL1XR1; UBC; 	CACNB3|IDBG-30418|ENSG00000167535|784|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HS2ST1|IDBG-100108|ENSG00000153936|9653|; KPNB1|IDBG-56053|ENSG00000108424|3837|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; NDUFS1|IDBG-79438|ENSG00000023228|4719|; PRPS1|IDBG-81487|ENSG00000147224|5631|; SP1|IDBG-36616|ENSG00000185591|6667|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Extracellular matrix organization	17095	REACTOME	9606	2	266	0.8520468779763282	0.8582323362556482	APP; ICAM1; 	APP|IDBG-1100|ENSG00000142192|351|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
Regulation of actin cytoskeleton	404	KEGG	9606	2	217	0.7615563161596204	0.7684795553974351	EGFR; TMSB4Y; 	EGFR|IDBG-16933|ENSG00000146648|1956|; TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
HIV Infection	19164	REACTOME	9606	2	209	0.7429294556208107	0.7510489032232239	KPNB1; UBC; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Myoclonic epilepsy of Lafora	17077	REACTOME	9606	3	253	0.6205348621318492	0.6296103262946551	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Metabolism of carbohydrates	17445	REACTOME	9606	3	253	0.6205348621318492	0.6296103262946551	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Glycogen storage diseases	19851	REACTOME	9606	3	253	0.6205348621318492	0.6296103262946551	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
