Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Folding of actin by CCT/TriC	13423	REACTOME	9606	7	9	1.4640394383516872E-12	8.125418882851864E-10	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; 
Formation of tubulin folding intermediates by CCT/TriC	13443	REACTOME	9606	8	21	8.733840622895331E-11	2.4236407728534544E-8	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Chromatin modifying enzymes	19015	REACTOME	9606	16	193	2.0600917060161427E-9	1.633358424055656E-7	CHD3; CHD4; EP300; GPS2; HDAC3; HIST2H2AC; HIST2H2BE; JAK2; KDM5D; MBIP; NCOR1; NCOR2; SMARCB1; TBL1X; TBL1XR1; WDR5; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; EP300|IDBG-8992|ENSG00000100393|2033|; GPS2|IDBG-24467|ENSG00000132522|2874|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; JAK2|IDBG-47039|ENSG00000096968|3717|; KDM5D|IDBG-354|ENSG00000012817|8284|; MBIP|IDBG-4937|ENSG00000151332|51562|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; SMARCB1|IDBG-2584|ENSG00000099956|6598|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; WDR5|IDBG-91736|ENSG00000196363|11091|; 
Chromatin organization	18782	REACTOME	9606	16	193	2.0600917060161427E-9	1.633358424055656E-7	CHD3; CHD4; EP300; GPS2; HDAC3; HIST2H2AC; HIST2H2BE; JAK2; KDM5D; MBIP; NCOR1; NCOR2; SMARCB1; TBL1X; TBL1XR1; WDR5; 	CHD3|IDBG-27053|ENSG00000170004|1107|; CHD4|IDBG-14532|ENSG00000111642|1108|; EP300|IDBG-8992|ENSG00000100393|2033|; GPS2|IDBG-24467|ENSG00000132522|2874|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; JAK2|IDBG-47039|ENSG00000096968|3717|; KDM5D|IDBG-354|ENSG00000012817|8284|; MBIP|IDBG-4937|ENSG00000151332|51562|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; SMARCB1|IDBG-2584|ENSG00000099956|6598|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; WDR5|IDBG-91736|ENSG00000196363|11091|; 
Prefoldin mediated transfer of substrate  to CCT/TriC	13442	REACTOME	9606	8	27	8.94751413502914E-10	1.6552901149803908E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	18485	REACTOME	9606	8	28	1.2395856601092372E-9	1.7199251034015667E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
Association of TriC/CCT with target proteins during biosynthesis	13422	REACTOME	9606	8	29	1.6939538009691863E-9	1.880288719075797E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; 
NOTCH1 Intracellular Domain Regulates Transcription	13296	REACTOME	9606	9	45	3.504255906518179E-9	2.431077535146987E-7	EP300; HDAC3; NCOR1; NCOR2; TBL1X; TBL1XR1; TLE1; TLE2; UBC; 	EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; TLE1|IDBG-73128|ENSG00000196781|7088|; TLE2|IDBG-16680|ENSG00000065717|7089|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Cellular responses to stress	16723	REACTOME	9606	17	240	6.897708670078607E-9	4.253587013215141E-7	CBX2; DNAJB1; EP300; HIST2H2AC; HIST2H2BE; HIST3H3; POT1; PRDX2; RNF2; SIRT1; SP1; SUZ12; TERF1; TERF2IP; UBC; VHL; YWHAE; 	CBX2|IDBG-71184|ENSG00000173894|84733|; DNAJB1|IDBG-33491|ENSG00000132002|3337|; EP300|IDBG-8992|ENSG00000100393|2033|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; POT1|IDBG-39151|ENSG00000128513|25913|; PRDX2|IDBG-31024|ENSG00000167815|7001|; RNF2|IDBG-105369|ENSG00000121481|6045|; SIRT1|IDBG-75847|ENSG00000096717|23411|; SP1|IDBG-36616|ENSG00000185591|6667|; SUZ12|IDBG-39777|ENSG00000178691|23512|; TERF1|IDBG-25349|ENSG00000147601|7013|; TERF2IP|IDBG-42783|ENSG00000166848|54386|; UBC|IDBG-64029|ENSG00000150991|7316|; VHL|IDBG-17819|ENSG00000134086|7428|; YWHAE|IDBG-14629|ENSG00000108953|7531|; 
Chaperonin-mediated protein folding	18121	REACTOME	9606	9	49	7.78921443072395E-9	4.323014009051792E-7	CCT2; CCT3; CCT4; CCT5; CCT6A; CCT7; FBXO6; TCP1; TUBA4A; 	CCT2|IDBG-47181|ENSG00000166226|10576|; CCT3|IDBG-103469|ENSG00000163468|7203|; CCT4|IDBG-53426|ENSG00000115484|10575|; CCT5|IDBG-12328|ENSG00000150753|22948|; CCT6A|IDBG-17442|ENSG00000146731|908|; CCT7|IDBG-56424|ENSG00000135624|10574|; FBXO6|IDBG-89462|ENSG00000116663|26270|; TCP1|IDBG-98570|ENSG00000120438|677812,6950|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
