Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
plasma membrane	GO:0005886	cellular component	9606	22	3645	0.998347373079692	1.0	AKT2; APP; AR; CCT3; CD81; CSNK2A1; DNAJB4; EGFR; ESR1; EWSR1; ICAM1; IGSF8; LRP5; LRP6; MAP3K7; PCDHB14; RALB; RASD1; SHC1; SMAD3; UBC; WWOX; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; AR|IDBG-73722|ENSG00000169083|367|; CCT3|IDBG-103469|ENSG00000163468|7203|; CD81|IDBG-22455|ENSG00000110651|975|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; DNAJB4|IDBG-99859|ENSG00000162616|11080|; EGFR|IDBG-16933|ENSG00000146648|1956|; ESR1|IDBG-97997|ENSG00000091831|2099|; EWSR1|IDBG-3488|ENSG00000182944|2130|; ICAM1|IDBG-26804|ENSG00000090339|3383|; IGSF8|IDBG-103984|ENSG00000162729|93185|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; MAP3K7|IDBG-94374|ENSG00000135341|6885|; PCDHB14|IDBG-50224|ENSG00000120327|56122|; RALB|IDBG-68212|ENSG00000144118|5899|; RASD1|IDBG-33016|ENSG00000108551|51655|; SHC1|IDBG-103007|ENSG00000160691|6464|; SMAD3|IDBG-18366|ENSG00000166949|4088|; UBC|IDBG-64029|ENSG00000150991|7316|; WWOX|IDBG-43129|ENSG00000186153|51741|; 
extracellular region	GO:0005576	cellular component	9606	4	1525	0.9998960637796296	1.0	APP; CRY2; SHBG; TUBA4A; 	APP|IDBG-1100|ENSG00000142192|351|; CRY2|IDBG-41167|ENSG00000121671|1408|; SHBG|IDBG-26209|ENSG00000129214|6462|; TUBA4A|IDBG-81457|ENSG00000127824|7277|; 
integral component of membrane	GO:0016021	cellular component	9606	11	4468	0.9999999999929262	0.9999999999929262	APP; CD81; EGFR; EIF2AK3; ESR1; HS2ST1; IGSF8; LRP5; LRP6; PCDHB14; SV2B; 	APP|IDBG-1100|ENSG00000142192|351|; CD81|IDBG-22455|ENSG00000110651|975|; EGFR|IDBG-16933|ENSG00000146648|1956|; EIF2AK3|IDBG-60518|ENSG00000172071|9451|; ESR1|IDBG-97997|ENSG00000091831|2099|; HS2ST1|IDBG-100108|ENSG00000153936|9653|; IGSF8|IDBG-103984|ENSG00000162729|93185|; LRP5|IDBG-61383|ENSG00000162337|4041|; LRP6|IDBG-20075|ENSG00000070018|4040|; PCDHB14|IDBG-50224|ENSG00000120327|56122|; SV2B|IDBG-30872|ENSG00000185518|9899|; 
endoplasmic reticulum membrane	GO:0005789	cellular component	9606	2	727	0.9950421122813146	0.9978705435271398	EGFR; EIF2AK3; 	EGFR|IDBG-16933|ENSG00000146648|1956|; EIF2AK3|IDBG-60518|ENSG00000172071|9451|; 
integral component of plasma membrane	GO:0005887	cellular component	9606	5	1063	0.9836068636882752	0.9875256161332484	APP; CD81; ICAM1; NLGN3; NLGN4Y; 	APP|IDBG-1100|ENSG00000142192|351|; CD81|IDBG-22455|ENSG00000110651|975|; ICAM1|IDBG-26804|ENSG00000090339|3383|; NLGN3|IDBG-75254|ENSG00000196338|54413|; NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
mitochondrial inner membrane	GO:0005743	cellular component	9606	1	353	0.9723441964553804	0.9773305769500236	NDUFS1; 	NDUFS1|IDBG-79438|ENSG00000023228|4719|; 
extracellular space	GO:0005615	cellular component	9606	8	1144	0.8927751708677873	0.9014627369266041	ACTA1; APP; EGFR; HIST2H2BE; ICAM1; POTEF; RBMX; TLE2; 	ACTA1|IDBG-107311|ENSG00000143632|58|; APP|IDBG-1100|ENSG00000142192|351|; EGFR|IDBG-16933|ENSG00000146648|1956|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; ICAM1|IDBG-26804|ENSG00000090339|3383|; POTEF|IDBG-69597|ENSG00000196604|728378|; RBMX|IDBG-87732|ENSG00000147274|101928747,26787,27316|; TLE2|IDBG-16680|ENSG00000065717|7089|; 
Golgi membrane	GO:0000139	cellular component	9606	3	477	0.8601428730709824	0.8695083255571421	CUL3; EGFR; HS2ST1; 	CUL3|IDBG-82331|ENSG00000036257|8452|; EGFR|IDBG-16933|ENSG00000146648|1956|; HS2ST1|IDBG-100108|ENSG00000153936|9653|; 
postsynaptic membrane	GO:0045211	cellular component	9606	1	193	0.8581899891217817	0.8680316174373985	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
external side of plasma membrane	GO:0009897	cellular component	9606	1	192	0.8567400670324403	0.8670622365147588	ICAM1; 	ICAM1|IDBG-26804|ENSG00000090339|3383|; 
