Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
protein binding	GO:0005515	molecular function	9606	9	9632	0.9684833991216676	0.9961543533822864	DAZ1; EIF1AY; KDM5D; NLGN4Y; RBMY1A1; RBMY1B; TBL1Y; TSPY1; UTY; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; EIF1AY|IDBG-384|ENSG00000198692|9086|; KDM5D|IDBG-354|ENSG00000012817|8284|; NLGN4Y|IDBG-238|ENSG00000165246|22829|; RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; TBL1Y|IDBG-67|ENSG00000092377|90665|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; UTY|IDBG-205|ENSG00000183878|7404|; 
ATP binding	GO:0005524	molecular function	9606	1	1493	0.8815602272790566	0.9154663898667128	DDX3Y; 	DDX3Y|IDBG-198|ENSG00000067048|8653|; 
metal ion binding	GO:0046872	molecular function	9606	2	2146	0.8099785862608606	0.8661157160017123	UTY; ZFY; 	UTY|IDBG-205|ENSG00000183878|7404|; ZFY|IDBG-11|ENSG00000067646|7544|; 
zinc ion binding	GO:0008270	molecular function	9606	1	1223	0.8234858916604253	0.8634609349449119	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
calcium ion binding	GO:0005509	molecular function	9606	1	718	0.6336374015579661	0.7128420767527117	PCDH11Y; 	PCDH11Y|IDBG-21|ENSG00000099715|27328,83259|; 
molecular_function	GO:0003674	molecular function	9606	1	724	0.6367588537068304	0.7089686206220379	TSPY1; 	TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
sequence-specific DNA binding	GO:0043565	molecular function	9606	1	629	0.5841946762469918	0.6712023939859055	TGIF2LY; 	TGIF2LY|IDBG-16|ENSG00000176679|90655|; 
sequence-specific DNA binding transcription factor activity	GO:0003700	molecular function	9606	2	1104	0.4519193399861274	0.5675266130058344	SRY; TGIF2LY; 	SRY|IDBG-1|ENSG00000184895|6736|; TGIF2LY|IDBG-16|ENSG00000176679|90655|; 
binding	GO:0005488	molecular function	9606	1	389	0.4167869328307328	0.5423251656110739	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
actin binding	GO:0003779	molecular function	9606	1	329	0.3657438083321877	0.5000041936693198	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
