Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
Signaling by GPCR	17449	REACTOME	9606	7	1035	0.9996518732092108	1.0	AKT2; APP; EGFR; HTR7; JAK2; KRAS; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; EGFR|IDBG-16933|ENSG00000146648|1956|; HTR7|IDBG-82120|ENSG00000148680|3363|; JAK2|IDBG-47039|ENSG00000096968|3717|; KRAS|IDBG-23889|ENSG00000133703|3845|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Metabolism	19429	REACTOME	9606	15	1535	0.998497324306384	1.0	CACNB3; EP300; HDAC3; HS2ST1; KPNB1; NCOA2; NCOA6; NCOR1; NCOR2; NDUFS1; PRPS1; SP1; TBL1X; TBL1XR1; UBC; 	CACNB3|IDBG-30418|ENSG00000167535|784|; EP300|IDBG-8992|ENSG00000100393|2033|; HDAC3|IDBG-50725|ENSG00000171720|8841|; HS2ST1|IDBG-100108|ENSG00000153936|9653|; KPNB1|IDBG-56053|ENSG00000108424|3837|; NCOA2|IDBG-24827|ENSG00000140396|10499|; NCOA6|IDBG-68724|ENSG00000198646|23054|; NCOR1|IDBG-31971|ENSG00000141027|9611|; NCOR2|IDBG-63911|ENSG00000196498|9612|; NDUFS1|IDBG-79438|ENSG00000023228|4719|; PRPS1|IDBG-81487|ENSG00000147224|5631|; SP1|IDBG-36616|ENSG00000185591|6667|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
GPCR ligand binding	19266	REACTOME	9606	2	433	0.9971034866197236	1.0	APP; HTR7; 	APP|IDBG-1100|ENSG00000142192|351|; HTR7|IDBG-82120|ENSG00000148680|3363|; 
GPCR downstream signaling	18003	REACTOME	9606	5	923	0.9998704987728712	0.9998704987728712	AKT2; APP; HTR7; JAK2; SHC1; 	AKT2|IDBG-51270|ENSG00000105221|208|; APP|IDBG-1100|ENSG00000142192|351|; HTR7|IDBG-82120|ENSG00000148680|3363|; JAK2|IDBG-47039|ENSG00000096968|3717|; SHC1|IDBG-103007|ENSG00000160691|6464|; 
Class A/1 (Rhodopsin-like receptors)	13250	REACTOME	9606	2	307	0.9768783876822228	0.982641682004832	APP; HTR7; 	APP|IDBG-1100|ENSG00000142192|351|; HTR7|IDBG-82120|ENSG00000148680|3363|; 
Transmembrane transport of small molecules	16726	REACTOME	9606	6	606	0.9667653157765654	0.9739053845784604	NCOA2; NCOA6; SLC9B1; TBL1X; TBL1XR1; UBC; 	NCOA2|IDBG-24827|ENSG00000140396|10499|; NCOA6|IDBG-68724|ENSG00000198646|23054|; SLC9B1|IDBG-32332|ENSG00000164037|150159|; TBL1X|IDBG-42498|ENSG00000101849|6907|; TBL1XR1|IDBG-65899|ENSG00000177565|79718|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Extracellular matrix organization	17095	REACTOME	9606	2	266	0.9558911956114772	0.964375436992644	APP; ICAM1; 	APP|IDBG-1100|ENSG00000142192|351|; ICAM1|IDBG-26804|ENSG00000090339|3383|; 
HIV Infection	19164	REACTOME	9606	2	209	0.8953566957151436	0.9046418762633008	KPNB1; UBC; 	KPNB1|IDBG-56053|ENSG00000108424|3837|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Calcium signaling pathway	594	KEGG	9606	2	183	0.8473837493314622	0.8574417166825775	EGFR; HTR7; 	EGFR|IDBG-16933|ENSG00000146648|1956|; HTR7|IDBG-82120|ENSG00000148680|3363|; 
Myoclonic epilepsy of Lafora	17077	REACTOME	9606	3	253	0.8404721930736744	0.8517117914951647	HS2ST1; PRPS1; UBC; 	HS2ST1|IDBG-100108|ENSG00000153936|9653|; PRPS1|IDBG-81487|ENSG00000147224|5631|; UBC|IDBG-64029|ENSG00000150991|7316|; 
