;degree;betweenness;eigenvector;closeness;ratio
SRY;21;0,5359;0,0002;0,2324;0,0255
DDX3Y;28;0,5249;0,0029;0,2485;0,0187
SMAD3;2;0,3656;0,0005;0,2379;0,1828
TBL1Y;31;0,3370;0,0001;0,1806;0,0109
HDAC3;2;0,3114;0,0000;0,2035;0,1557
RBMY1A1;24;0,2659;0,5517;0,1858;0,0111
USP9Y;15;0,2467;0,0436;0,1901;0,0164
RPS4Y1;14;0,2381;0,0006;0,2088;0,0170
TMSB4Y;6;0,2351;0,0168;0,2077;0,0392
POT1;2;0,2234;0,0032;0,2231;0,1117
TERF1;2;0,1973;0,0911;0,1929;0,0986
AR;3;0,1740;0,0000;0,2069;0,0580
TSPY1;8;0,1515;0,0001;0,1940;0,0189
CDY1;6;0,1257;0,0016;0,1824;0,0209
CLK3;3;0,1243;0,1734;0,1767;0,0414
UBC;3;0,1202;0,0074;0,1841;0,0401
HIST2H2AC;2;0,1155;0,0003;0,1851;0,0577
RBMY1F;21;0,1073;0,4866;0,1555;0,0051
RPS4Y2;3;0,1067;0,0013;0,1952;0,0356
CSNK1E;2;0,1036;0,0072;0,1860;0,0518
