Query Symbol	Partner Symbol
BPY2	MAP1S
BPY2	UBE3A
CDY1	UBC
CDY1	HIST1H4A
CDY1	HIST2H2AC
CDY1	CDY1
CDY2A	CUL4A
DAZ1	DAZAP1
DAZ1	DZIP1
DAZ1	DZIP1L
DAZ1	PUM2
DAZ1	DYNLL1
DAZ1	DAZ1
DAZ1	QKI
DAZ1	DAZAP2
DAZ1	BOLL
DAZ1	DZIP3
DAZ1	DAZL
DAZ3	PUM2
DAZ4	DAZL
DAZ4	PUM2
DAZ4	QKI
DAZ4	DZIP1
DDX3Y	DDX3Y
DDX3Y	SMAD3
DDX3Y	WBP4
DDX3Y	POC1A
DDX3Y	RPAP1
DDX3Y	MCM2
DDX3Y	APBB1
DDX3Y	CCNB2
DDX3Y	VHL
DDX3Y	SMAD2
DDX3Y	CRY2
DDX3Y	IGSF8
DDX3Y	ODF2
DDX3Y	POT1
DDX3Y	SAP25
DDX3Y	SHBG
DDX3Y	ESR1
DDX3Y	NEDD4
DDX3Y	NUDCD2
DDX3Y	FBXO6
DDX3Y	PIN1
DDX3Y	MTF1
DDX3Y	SRC
DDX3Y	WWOX
DDX3Y	CD81
DDX3Y	HSCB
EIF1AY	SRPK2
EIF1AY	HNF4A
EIF1AY	KLHL36
EIF1AY	EIF2B2
EIF1AY	EIF1AX
EIF1AY	ATXN1
EIF1AY	EIF5A
EIF1AY	FOXA1
EIF1AY	EIF5
EIF1AY	HUWE1
EIF1AY	EIF5B
EIF1AY	EGFR
EIF1AY	CUL3
HSFY1	MIS12
HSFY1	AIF1
HSFY1	RBFOX1
HSFY1	RBM47
HSFY1	RBPMS
HSFY1	POTEF
HSFY1	HSFY1
HSFY1	PPM1A
HSFY1	GCM2
HSFY1	TUBA3C
HSFY1	SMARCB1
HSFY1	RAD51
HSFY1	E2F7
HSFY1	HGS
HSFY1	CHD3
HSFY1	SOX15
HSFY1	JAK2
HSFY1	TBX6
HSFY1	QRICH1
HSFY1	HNRNPF
HSFY1	RABEP1
HSFY1	BANP
HSFY1	NDUFS1
HSFY1	SATB2
HSFY1	SV2B
HSFY1	CHD4
KDM5D	AR
KDM5D	HIST3H3
KDM5D	PCGF6
NLGN4Y	PRIM2
NLGN4Y	PRIM1
NLGN4Y	NLGN3
RBMY1A1	IGF2BP1
RBMY1A1	CLK3
RBMY1A1	CIRBP
RBMY1A1	TERF1
RBMY1A1	ZNF317
RBMY1A1	SRSF9
RBMY1A1	RBM3
RBMY1A1	RBMY1C
RBMY1A1	TRA2B
RBMY1A1	CBX2
RBMY1A1	PRPF31
RBMY1A1	HNRNPK
RBMY1A1	DAAM2
RBMY1A1	YWHAE
RBMY1A1	PRR3
RBMY1A1	APOBEC3C
RBMY1A1	LNX1
RBMY1A1	PCDHB14
RBMY1A1	RBMY1A1
RBMY1A1	SRSF3
RBMY1A1	KHDRBS3
RBMY1A1	AEN
